Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps
4.59E-02,2.66E+00,4.06E+00,8.37E+00,-2.89E-01,5.66E-01,1.65E-01,-5.85E-02,-1.43E+00,7.12E-01,,,,,150,4.59E+07
9.59E-02,3.90E-01,4.38E+00,5.61E+00,-3.17E-01,1.63E+00,3.90E-01,-2.08E+00,-9.79E-01,-2.22E+00,,,,,150,9.59E+07
1.46E-01,1.57E+00,2.17E+00,4.92E+00,-1.20E+00,3.84E+00,1.34E-01,-7.09E-02,-2.89E+00,-3.32E+00,,,,,150,1.46E+08
1.96E-01,-3.98E+00,3.74E+00,1.28E+01,5.26E-01,2.48E+00,-4.27E-01,-3.77E+00,-8.26E-01,4.11E+00,,,,,150,1.96E+08
2.46E-01,-1.94E+00,3.73E+00,8.10E+00,1.10E-01,9.66E-01,1.81E+00,-1.36E+00,-1.08E+00,-4.22E-01,,,,,150,2.46E+08
2.96E-01,-1.89E+00,3.03E+00,8.09E+00,-7.60E-01,2.69E+00,1.01E+00,-1.12E+00,-1.71E+00,-4.65E-01,,,,,150,2.96E+08
3.46E-01,-1.07E+00,2.06E+00,1.00E+01,-9.13E-01,5.53E-01,1.44E+00,2.48E-01,-2.38E+00,1.39E+00,,,,,150,3.46E+08
3.96E-01,-2.91E+00,3.00E+00,8.38E+00,-7.57E-01,7.59E-01,7.29E-01,-1.48E+00,-1.08E+00,-4.28E-01,,,,,150,3.96E+08
4.46E-01,-1.92E+00,1.90E+00,9.59E+00,1.48E-01,4.55E-01,5.33E-01,-3.45E-01,-2.03E+00,7.46E-01,,,,,150,4.46E+08
4.96E-01,-2.30E+00,-8.36E-01,9.39E+00,-5.82E-01,6.51E-01,2.71E-01,-5.06E-01,-4.74E+00,5.77E-01,,,,,150,4.96E+08
5.46E-01,1.92E+00,-3.32E+00,7.20E+00,-2.27E+00,6.65E-01,1.97E-01,4.06E+00,-6.73E+00,-1.74E+00,,,,,150,5.46E+08
5.96E-01,-9.29E-01,-3.89E+00,6.80E+00,-3.09E+00,-3.09E-01,4.55E-01,1.06E+00,-6.05E+00,-2.55E+00,,,,,150,5.96E+08
6.46E-01,1.71E+00,-7.03E+00,9.28E+00,-2.63E+00,2.09E+00,-1.33E+00,3.99E+00,-7.68E+00,-2.40E-01,,,,,150,6.46E+08
6.96E-01,-5.76E+00,-5.44E+00,8.26E+00,-1.86E+00,2.76E+00,-3.51E+00,-2.36E+00,-4.72E+00,-9.07E-01,,,,,150,6.96E+08
7.46E-01,-1.42E+01,-3.20E+00,6.55E+00,-1.75E+00,2.71E+00,-3.21E+00,-9.81E+00,-9.99E-01,-1.93E+00,,,,,150,7.46E+08
7.96E-01,-1.33E+01,-3.16E+00,5.48E+00,-2.43E+00,6.83E-01,-8.00E-01,-8.47E+00,3.83E-01,-2.27E+00,,,,,150,7.96E+08
8.46E-01,-1.16E+01,-5.61E+00,7.77E+00,-2.91E+00,2.09E+00,-7.37E-01,-6.45E+00,-9.52E-01,8.33E-01,,,,,150,8.46E+08
8.96E-01,-1.20E+01,-5.58E+00,6.82E+00,-1.74E+00,2.00E+00,6.52E-01,-6.31E+00,-4.03E-03,1.14E+00,,,,,150,8.96E+08
9.46E-01,-1.26E+01,-1.86E+00,8.04E+00,-1.92E+00,2.10E+00,1.06E+00,-6.13E+00,3.93E+00,3.51E+00,,,,,150,9.46E+08
9.96E-01,-5.03E+00,-9.05E-01,5.59E+00,-4.74E-01,1.09E+00,2.38E+00,-5.30E+00,3.58E+00,4.44E+00,,,,,150,9.96E+08
1.05E+00,-3.19E+00,-8.28E-01,4.69E+00,-5.65E-02,2.11E-01,8.83E-01,4.74E+00,4.00E+00,1.54E+00,,,,,150,1.05E+09
1.10E+00,-1.01E+01,-3.74E+00,1.15E+01,1.04E+00,-8.52E-01,7.07E-01,-2.10E+00,7.95E-01,8.05E+00,,,,,150,1.10E+09
1.15E+00,-1.20E+01,-2.46E+00,5.41E-01,1.19E+00,1.80E-01,-2.20E-01,-3.92E+00,1.55E+00,-3.35E+00,,,,,150,1.15E+09
1.20E+00,-1.71E+01,-5.78E+00,3.00E+00,-1.31E-01,-4.62E-01,1.35E+00,-9.03E+00,-1.96E+00,-1.11E+00,,,,,150,1.20E+09
1.25E+00,-8.45E+00,-5.55E+00,4.22E+00,-9.82E-01,-7.01E-01,1.87E+00,-2.04E-01,-2.42E+00,-7.38E-02,,,,,150,1.25E+09
1.30E+00,3.74E+00,-8.20E+00,2.50E+00,-4.58E-01,3.64E-01,7.80E-01,1.22E+01,-5.54E+00,-1.66E+00,,,,,150,1.30E+09
1.35E+00,6.55E+00,-2.83E+00,3.33E+00,-3.38E-01,1.28E-02,-1.36E+00,1.50E+01,-3.06E-02,-7.15E-01,,,,,150,1.35E+09
1.40E+00,-5.85E+00,-8.83E+00,3.82E+00,-4.63E-01,-1.35E+00,-6.04E+00,1.99E+00,-4.71E+00,-4.02E-01,,,,,150,1.40E+09
1.45E+00,-2.26E+01,-7.82E+00,2.59E+00,-1.97E+00,1.13E+00,-4.03E+00,-1.64E+01,-1.41E+00,-1.51E+00,,,,,150,1.45E+09
1.50E+00,-9.64E+00,-1.03E+01,1.93E+00,-8.28E-02,1.69E+00,-2.12E+00,-4.29E+00,-2.73E+00,-1.27E+00,,,,,150,1.50E+09
1.55E+00,3.32E+00,-1.24E+01,1.10E+00,6.36E-01,-2.11E-01,-9.60E-01,8.11E+00,-4.48E+00,-2.17E+00,,,,,150,1.55E+09
1.60E+00,4.62E-01,-7.96E+00,3.04E-01,-1.51E+00,-9.21E-01,-1.97E+00,4.69E+00,3.00E-01,-2.87E+00,,,,,150,1.60E+09
1.65E+00,3.06E-01,-7.38E+00,1.56E+00,-8.96E-01,-1.99E+00,-6.28E+00,2.76E+00,1.72E+00,-1.13E+00,,,,,150,1.65E+09
1.70E+00,-3.11E-02,-6.58E+00,3.35E+00,-2.70E+00,-5.51E+00,-6.04E+00,-1.04E+00,2.97E+00,1.39E+00,,,,,150,1.70E+09
1.75E+00,-1.04E+00,-6.98E+00,-5.63E-01,-1.21E+00,2.57E+00,-4.56E+00,-4.91E+00,2.01E+00,-1.17E+00,,,,,150,1.75E+09
1.80E+00,1.52E+01,-2.33E+01,-5.71E+00,2.30E+00,-3.14E+00,2.79E+00,1.08E+01,-1.46E+01,-7.12E+00,,,,,150,1.80E+09
1.85E+00,2.85E-01,-9.97E+00,5.06E+00,-1.36E+00,-8.47E-01,5.17E-01,-3.55E+00,-9.72E-01,4.33E+00,,,,,150,1.85E+09
1.90E+00,6.54E-01,-8.00E+00,-1.75E-01,4.69E-01,3.60E+00,1.99E-01,-2.97E+00,1.07E+00,-1.01E+00,,,,,150,1.90E+09
1.95E+00,2.64E+00,-1.21E+01,-1.24E+00,2.43E-01,-2.12E+00,-6.54E-01,-9.19E-01,-3.02E+00,-2.53E+00,,,,,150,1.95E+09
2.00E+00,9.19E-01,-1.11E+01,2.89E+00,1.33E+00,-9.08E-01,-6.38E-01,-3.10E+00,-2.20E+00,1.80E+00,,,,,150,2.00E+09
2.05E+00,1.93E+00,-1.13E+01,5.33E+00,2.15E+00,1.35E+00,-1.59E-01,-2.24E+00,-2.62E+00,3.42E+00,,,,,150,2.05E+09
2.10E+00,2.75E+00,-1.71E+01,4.76E+00,3.88E+00,5.73E-01,-6.35E-02,-1.32E+00,-8.86E+00,1.42E+00,,,,,150,2.10E+09
2.15E+00,1.10E+01,-8.13E+00,-8.23E+00,2.84E+00,1.30E-01,-4.82E-02,7.04E+00,-6.81E-01,-1.32E+01,,,,,150,2.15E+09
2.20E+00,5.31E+00,-1.21E+00,4.40E+00,3.58E+00,-9.35E-02,5.66E-01,1.46E+00,5.56E+00,-1.56E+00,,,,,150,2.20E+09
2.25E+00,3.57E-01,-5.66E+00,4.48E-01,-2.22E+00,1.11E+00,1.52E+00,-3.36E+00,7.46E-01,-5.98E+00,,,,,150,2.25E+09
2.30E+00,3.65E+00,-1.05E+01,-2.90E-01,-4.37E+00,8.64E-01,2.18E+00,1.16E+00,-2.78E+00,-5.83E+00,,,,,150,2.30E+09
2.35E+00,5.05E+00,-3.16E+00,1.61E+00,-3.30E+00,-2.55E-01,8.04E-01,3.26E+00,5.73E+00,-2.12E+00,,,,,150,2.35E+09
2.40E+00,4.00E+00,5.94E-01,-3.36E+00,-2.35E+00,1.57E+00,-5.04E-01,2.42E+00,9.93E+00,-5.91E+00,,,,,150,2.40E+09
2.45E+00,-9.58E-02,-1.07E+00,-7.34E+00,-4.77E+00,2.34E+00,-6.49E-01,-1.85E+00,8.51E+00,-8.53E+00,,,,,150,2.45E+09
2.50E+00,6.49E+00,-2.93E+01,-1.95E+01,-5.06E+00,-5.32E-01,-4.21E-01,4.42E+00,-1.98E+01,-1.83E+01,,,,,150,2.50E+09
2.55E+00,-1.05E+01,-4.50E+01,9.18E+00,2.64E+00,-5.97E+00,-1.41E+00,-1.26E+01,-3.57E+01,1.12E+01,,,,,150,2.55E+09
2.60E+00,2.84E+00,-5.49E+00,7.49E+00,1.17E+00,3.34E+00,1.37E+00,4.99E-01,3.86E+00,9.30E+00,,,,,150,2.60E+09
2.65E+00,-2.43E+00,-3.52E+00,5.70E+00,3.92E+00,-2.31E+00,8.08E-01,-4.30E+00,6.09E+00,6.21E+00,,,,,150,2.65E+09
2.70E+00,3.52E+00,-6.19E+00,3.71E-01,4.44E+00,-1.67E+00,3.62E-01,2.03E+00,3.37E+00,-1.21E+00,,,,,150,2.70E+09
2.75E+00,3.62E+00,-7.34E+00,7.64E-01,4.53E+00,9.96E-01,-1.67E+00,1.73E+00,1.62E+00,-2.74E+00,,,,,150,2.75E+09
2.80E+00,-2.74E+00,-3.38E+01,-6.66E-01,1.33E+00,2.50E+00,2.23E+00,-4.14E+00,-2.57E+01,-6.02E+00,,,,,150,2.80E+09
2.85E+00,9.10E-01,-8.18E+00,1.85E+00,1.64E+00,-3.39E+00,1.76E-01,3.16E-01,-2.66E-01,-3.91E+00,,,,,150,2.85E+09
2.90E+00,2.10E+00,4.80E+00,-4.10E+00,-1.39E+00,-2.13E+00,-9.83E-01,2.79E-01,1.26E+01,-9.79E+00,,,,,150,2.90E+09
2.95E+00,4.11E+00,-1.08E+00,-4.63E+00,-2.74E+00,4.65E+00,8.66E-01,2.38E+00,7.11E+00,-9.75E+00,,,,,150,2.95E+09
3.00E+00,-4.13E+00,-9.16E+00,2.14E+01,-3.25E-01,3.52E+00,1.60E+00,-4.37E+00,-3.02E-01,1.72E+01,,,,,150,3.00E+09
3.05E+00,3.05E+00,-4.02E+00,2.09E+00,-2.86E-01,-3.20E+00,-7.81E-01,3.96E+00,4.60E+00,-2.49E+00,,,,,150,3.05E+09
3.10E+00,1.13E+00,-2.59E+01,-2.69E+00,-2.76E+00,2.91E+00,-3.11E+00,9.50E-01,-1.67E+01,-6.16E+00,,,,,150,3.10E+09
3.15E+00,-2.43E+00,-1.42E+01,4.01E+00,-2.21E+00,-4.64E-01,-6.21E-01,-3.20E+00,-4.74E+00,1.38E+00,,,,,150,3.15E+09
3.20E+00,-1.35E+01,-3.55E+01,1.81E+01,-4.51E+00,-1.23E+00,-1.02E+00,-1.48E+01,-2.58E+01,1.71E+01,,,,,150,3.20E+09
3.25E+00,4.45E-01,-6.55E+00,9.67E+00,7.54E-02,1.11E+00,-1.33E+00,-1.25E+00,3.11E+00,9.93E+00,,,,,150,3.25E+09
3.30E+00,-6.18E+00,3.66E-01,5.07E+00,1.32E+00,1.16E+00,1.09E+00,-8.06E+00,9.99E+00,4.88E+00,,,,,150,3.30E+09
3.35E+00,-4.07E-01,4.93E-01,-2.11E+00,1.63E+00,-1.86E+00,1.89E+00,-1.46E+00,1.02E+01,-3.21E+00,,,,,150,3.35E+09
3.40E+00,3.00E+00,2.75E+00,2.22E+00,2.34E+00,-2.43E+00,1.23E+00,2.61E+00,1.24E+01,3.44E-01,,,,,150,3.40E+09
3.45E+00,1.36E-01,-1.03E+01,1.11E+01,4.41E+00,-9.12E-01,-1.09E-01,-2.20E-01,-1.00E+00,7.95E+00,,,,,150,3.45E+09
3.50E+00,-4.61E+00,-5.27E+01,9.66E+00,-2.73E-01,4.20E+00,1.56E+00,1.57E-01,-1.70E+00,6.37E+00,,,,,150,3.50E+09
3.55E+00,4.76E-01,-8.72E+00,-1.51E+00,4.28E-01,-9.57E-01,1.82E+00,1.84E+00,-3.84E-01,-6.49E+00,,,,,150,3.55E+09
3.60E+00,1.80E+00,-1.38E+00,-4.02E+00,-1.17E+00,-3.88E+00,-2.29E-01,2.95E+00,6.97E+00,-9.04E+00,,,,,150,3.60E+09
3.65E+00,3.57E-01,2.21E+00,-8.19E-01,-3.16E+00,2.91E+00,-2.18E+00,6.61E-01,1.10E+01,-5.07E+00,,,,,150,3.65E+09
3.70E+00,-2.60E+00,-2.39E+00,1.17E+01,-1.18E-01,1.53E-01,-4.65E-01,-2.64E+00,6.89E+00,8.57E+00,,,,,150,3.70E+09
3.75E+00,9.96E-01,-6.50E+00,-3.45E-01,-1.21E-01,2.96E+00,9.57E-01,1.12E+00,2.58E+00,-4.05E+00,,,,,150,3.75E+09
3.80E+00,1.31E+01,3.34E+00,4.55E+01,-2.84E+00,1.19E+00,-9.49E-01,1.41E+01,1.27E+01,4.27E+01,,,,,150,3.80E+09
3.85E+00,7.62E+00,-2.20E+01,-9.89E+00,-2.11E+00,-4.98E-01,-2.39E+00,7.40E+00,-1.25E+01,-1.23E+01,,,,,150,3.85E+09
3.90E+00,4.12E+00,-2.06E+01,-4.95E+00,-1.51E+00,9.94E-01,-1.11E+00,3.14E+00,-1.10E+01,-6.82E+00,,,,,150,3.90E+09
3.95E+00,-7.70E+00,-3.03E+01,6.99E+00,-3.85E+00,-5.27E-01,-2.16E+00,-9.57E+00,-2.06E+01,6.75E+00,,,,,150,3.95E+09
4.00E+00,3.17E+00,-1.22E+01,2.10E+01,-2.80E+00,7.76E-01,-8.73E-01,6.50E-01,-2.82E+00,2.22E+01,,,,,150,4.00E+09
4.05E+00,-4.13E+00,-5.88E+00,5.06E+00,1.01E+00,2.44E+00,2.76E-02,-7.06E+00,3.30E+00,6.89E+00,,,,,150,4.05E+09
4.10E+00,-4.49E+00,-1.36E+00,3.41E+00,1.91E+00,9.10E-01,1.85E+00,-7.24E+00,8.01E+00,4.33E+00,,,,,150,4.10E+09
4.15E+00,1.80E+00,1.71E+00,1.57E+00,1.71E+00,-1.21E+00,2.12E+00,1.14E-01,1.14E+01,1.59E+00,,,,,150,4.15E+09
4.20E+00,8.81E-01,-3.23E+00,3.91E+00,2.68E+00,1.45E-01,6.07E-01,-8.52E-02,6.47E+00,2.77E+00,,,,,150,4.20E+09
4.25E+00,-3.18E+00,-5.05E+01,-7.40E-01,1.93E+00,-2.57E+00,2.34E+00,-3.87E+00,-4.11E+01,-3.42E+00,,,,,150,4.25E+09
4.30E+00,-7.78E-01,-2.09E+01,1.12E+00,2.64E+00,1.59E+00,1.87E+00,-2.72E-01,-1.18E+01,-2.31E+00,,,,,150,4.30E+09
4.35E+00,1.83E+00,-5.42E+00,-2.29E+00,-2.89E-01,-1.98E+00,9.32E-01,3.08E+00,3.37E+00,-6.45E+00,,,,,150,4.35E+09
