,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.0453,0.402,4.69,7.8,-0.0589,0.0586,0.266,2.59,-0.368,-0.314,0.0,0.0,0.0,1.0,90.0,45300000.0,0.33448926859812045,3.031464881810142,7.238333273726663,-0.2922405258367045,0.12475584690136682,0.28107652193465155,2.124323979534135,-0.7377036842769398,-0.010955580753236306
1,0.0953,0.828,3.71,10.1,-1.63,-0.00733,0.264,2.81,-0.84,1.63,0.0,0.0,0.0,1.0,90.0,95300000.0,0.6218045123467414,3.4952814876612033,8.512524936616096,-1.4435917968564753,0.025896394103732845,0.26768436384737987,2.5079055745734746,-0.7796295859278028,1.227372185175555
2,0.145,0.596,1.35,8.24,-1.67,1.03,0.377,2.67,-2.55,-0.515,0.0,0.0,0.0,1.0,90.0,145000000.0,0.6048930693794726,1.916100078350527,8.365179692303744,-1.640927639349823,0.8067743175242856,0.3557244820242035,2.6111788528480866,-1.6925192321506641,-0.1464326652520067
3,0.195,-2.59,-2.28,6.59,-2.08,2.42,1.6,-0.11699999999999999,-5.44,-2.36,0.0,0.0,0.0,1.0,90.0,195000000.0,-1.5160242158270791,-1.1878750129243416,7.371166799221895,-2.0236991813612404,2.063674541332263,1.3588251704955554,0.8458601999127184,-3.7133841657026085,-1.8950867468873005
4,0.245,0.498,-0.23199999999999998,14.5,-1.95,1.44,1.38,0.845,-4.65,-2.29,0.0,0.0,0.0,1.0,90.0,245000000.0,-0.1770980918408005,-0.4805534118872985,11.38935812686379,-1.9594500181676708,1.5777121487625976,1.3758963653366265,0.8453025477078219,-4.223107174847608,-2.2070829378940733
5,0.295,-4.21,-0.91,10.2,0.0742,-0.00855,1.18,-0.7859999999999999,-3.17,1.34,0.0,0.0,0.0,1.0,90.0,295000000.0,-2.858609700781348,-0.7983393581157994,10.718135068956451,-0.1865618921876533,0.34170338727822736,1.2179639799034692,-0.21252598960374092,-3.6489053533005475,0.5952554674841317
6,0.345,-2.16,0.165,8.39,-0.92,1.31,1.95,1.35,-2.23,-0.447,0.0,0.0,0.0,1.0,90.0,345000000.0,-2.394089669879743,-0.08547735544800916,9.403924317273253,-0.8259559539174856,1.096196131505723,1.8081340798450598,0.8007334439839894,-2.8749523075963936,-0.22816846026048565
7,0.395,0.242,7.54,12.5,-0.838,0.377,1.95,3.93,5.33,3.72,0.0,0.0,0.0,1.0,90.0,395000000.0,-0.6412953778319546,5.557304187222183,11.151709128602464,-0.8364556688659308,0.5358014234921787,1.9225069314946626,2.829992669341145,1.6008633257767362,2.891044188615231
8,0.445,2.98,4.48,11.8,-0.0357,0.639,2.03,6.67,2.1,2.99,0.0,0.0,0.0,1.0,90.0,445000000.0,1.7665845312020432,4.76010922291386,11.517683035118969,-0.13837576008127161,0.6162133350274477,2.0091682054668585,5.320152460065384,1.873147717529157,2.969223285902019
9,0.495,1.51,-1.74,10.9,-0.139,-0.511,0.387,5.17,-4.36,2.23,0.0,0.0,0.0,1.0,90.0,495000000.0,1.5959757548547056,-0.049910549760664225,11.168987224059576,-0.13891995647513433,-0.26210671066896296,0.7013703806427123,5.222781958018499,-1.5271133910064514,2.3852070334302184
10,0.545,-5.18,0.0215,6.23,0.17600000000000002,0.157,0.792,-1.86,-2.66,-2.6,0.0,0.0,0.0,1.0,90.0,545000000.0,-2.9095213526803154,0.002932586803019707,8.380819968813167,0.1356198346225158,0.06445954414178073,0.7744363010864411,0.6297543690416498,-2.1451178715724586,-1.5533078975953045
