,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.0441,1.04,4.07,8.78,-0.0455,-0.0574,0.214,-0.778,-1.46,0.8859999999999999,,,,,,44100000.0,0.7602819178289609,3.4637641641856547,7.492152190565072,-0.15762441103654756,0.019651507105113188,0.30229667816681005,-0.8586715220116279,-1.207320108620158,0.32432857867550385
1,0.0941,-0.0551,4.06,6.8,-0.742,0.21899999999999997,0.636,-1.86,-1.27,-1.23,,,,,,94100000.0,0.3299357330267128,3.8820701649843135,7.222308865276958,-0.6271222666328564,0.16546597862396134,0.5538447910993447,-1.3585597338954294,-1.233692214824941,-0.5875091859498112
2,0.14400000000000002,1.28,2.95,8.03,-0.693,0.345,0.968,-0.659,-1.98,-0.217,,,,,,144000000.0,0.9077533424266655,3.185911559477196,7.614184837280442,-0.6812162674469058,0.3021194645123492,0.8759144057440917,-0.9500172083649547,-1.6199730549678213,-0.3447077053394789
3,0.19399999999999998,1.11,5.29,10.2,-0.6759999999999999,1.61,0.632,-0.644,0.728,1.67,,,,,,194000000.0,1.0331774631654127,4.76348398834469,8.9310427243604,-0.676930102373349,1.2998216423997022,0.685947278879873,-0.7669667441275642,-0.3541307712266031,0.9916248799152731
4,0.244,1.8,2.61,7.9,0.557,-1.15,0.7829999999999999,0.177,-1.84,-0.687,,,,,,244000000.0,1.5100435893951882,3.1484896324921774,8.400062056561792,0.3370023098242042,-0.5692293496033953,0.7615401284303485,-0.2001659948828649,-1.1619235701133062,-0.12330059608397925
5,0.294,4.33,3.34,5.75,-0.111,0.0715,0.6759999999999999,2.22,-1.17,-2.7,,,,,,294000000.0,3.2643905478138002,3.2921139369383585,7.031733166218655,-0.031125824514588396,-0.08039205308725894,0.6949140117897019,1.2538904812176714,-1.1663218990594546,-1.8349798239261506
6,0.344,1.42,3.04,8.41,-0.802,1.13,0.7290000000000001,2.33,-0.922,-2.85,,,,,,344000000.0,2.1168963977649353,3.1030393457836056,7.743818441146751,-0.6645611128546607,0.8430633896737243,0.7214631367410734,1.900488471564469,-1.0332186772225662,-2.509260532939674
7,0.39399999999999996,1.55,2.19,9.19,-1.37,1.78,-0.22699999999999998,0.0861,-1.57,0.249,,,,,,394000000.0,1.7641969249453522,2.4182992783643478,8.491098088722442,-1.244227562251151,1.5578889754404983,-0.01728284800094504,0.8102667162101815,-1.325671503160966,-0.6769367059079663
8,0.444,0.306,2.21,13.0,0.305,0.36700000000000005,-0.57,-0.218,-1.03,3.74,,,,,,444000000.0,0.8569661888388375,2.2620838360516577,10.821043039474832,0.02878878938102547,0.6493131791665976,-0.4477872678662326,0.1924048349715296,-1.1645792813815907,2.257253181867512
9,0.494,-0.33299999999999996,4.31,9.99,1.04,0.0672,-0.00298,-0.8029999999999999,0.517,0.9590000000000001,,,,,,494000000.0,0.11661757084755398,3.797932551443588,10.39160365262228,0.8597114910770639,0.20519625102350325,-0.10133249158850927,-0.4057113153553735,-0.2483929755186518,1.3948180322234376
10,0.544,-0.10800000000000001,1.9,9.5,-0.145,1.02,-0.303,-0.281,-2.05,0.525,,,,,,544000000.0,-0.0231303607163377,2.374565013038038,9.930869015319598,0.0341296483813307,0.8268419052140258,-0.2584087752899579,-0.33077510565191237,-1.2299754253545552,0.8169941740200773
11,0.594,-1.84,5.15,9.22,0.5379999999999999,1.07,-0.522,-1.42,1.18,0.259,,,,,,594000000.0,-1.1535128833285964,4.456021568758404,9.56352867034507,0.4481651287710949,1.0123567721250872,-0.463716670475735,-0.9852656369097571,0.08306892028519619,0.4463162576313468
12,0.644,2.33,0.757,9.81,0.0162,2.0,-1.01,3.44,-3.29,0.9440000000000001,,,,,,644000000.0,1.0137873118895844,1.68191502145693,9.690892584650818,0.09321490545585825,1.7658684436688157,-0.8892098652339897,1.6737762458135488,-1.7547046928287746,0.7769297021118798
13,0.6940000000000001,-1.73,-0.68,0.33299999999999996,-1.4,3.69,-2.71,1.02,-4.43,-8.3,,,,,,694000000.0,-0.6932857341545906,-0.08941933676838665,4.855215231441917,-1.1337752400449497,3.233863755616683,-2.3074003889257555,1.2809369021767643,-3.2123051771277975,-5.252913684792155
14,0.7440000000000001,-8.61,-3.07,6.03,-3.33,4.1,-4.21,-3.68,-5.12,-2.19,,,,,,744000000.0,-5.6187436215080355,-2.32472617636416,5.462283660211701,-2.938435826634525,3.8946729213249167,-3.789311282913077,-1.6999777125714222,-4.251688345502655,-3.2182070494093598
15,0.794,-16.1,-1.29,8.83,-2.19,2.09,-2.4,-9.63,-1.06,1.46,,,,,,794000000.0,-12.139755910575484,-1.5487261624267294,7.202546142997894,-2.323438397316939,2.517817255400283,-2.707194304280663,-6.4649484874859775,-2.512737563356305,-0.11045405335352765
16,0.8440000000000001,-11.7,0.0407,5.37,-1.51,0.934,-0.42,-4.85,1.35,-1.52,,,,,,844000000.0,-11.866157523806432,-0.35672512222185526,6.25558052855561,-1.6550276270582542,1.3094610976745273,-0.9257274691538022,-5.494562477166532,-0.4081741783141375,-1.0468214474231732
17,0.894,-13.7,0.752,5.41,-2.1,2.56,-0.982,-6.39,2.92,-0.718,,,,,,894000000.0,-13.007099717434572,0.4747708602415306,5.818627940819248,-2.020665959710413,2.263546124443715,-0.9695574291953325,-6.032610514694176,1.405139182287325,-0.8283839487036819
18,0.9440000000000001,-11.2,-0.972,3.98,-2.37,1.37,0.511,-3.27,1.98,-1.04,,,,,,944000000.0,-11.882795544888824,-0.6102448610063151,4.868519635107305,-2.3077172674512827,1.581824819386323,0.18363007989776026,-4.372620442940223,1.7183447887515717,-0.968961372184479
19,0.9940000000000001,-10.6,-0.74,2.33,-2.56,1.15,0.40700000000000003,-2.33,2.55,-1.84,,,,,,994000000.0,-11.084692491353406,-0.7075556236563535,3.556743264532675,-2.515020556696408,1.2523687463313817,0.3576101002856602,-3.1452560566670176,2.1714615140616016,-1.5475960838044174
20,1.04,-10.1,-4.69,2.13,-3.46,0.823,1.84,-1.54,-1.19,-1.07,,,,,,1040000000.0,-10.472057051104523,-3.6942171120877347,2.8194758158044086,-3.291519991383957,0.9247865362724246,1.512224941030932,-2.1806940427882044,0.3400119828563959,-1.2303269955488805
21,1.09,1.51,-6.42,55.8,-2.86,0.26899999999999996,1.15,10.4,-3.16,53.4,,,,,,1090000000.0,-3.0173077776333983,-5.738436721633224,30.197084275023958,-2.9369354555274714,0.4244613177654619,1.230092479932833,5.378759712383431,-1.566925022514408,35.060834118198684
22,1.14,-3.94,-3.96,3.36,0.759,0.873,-0.0286,5.21,-0.9259999999999999,1.55,,,,,,1140000000.0,-3.591369441421727,-4.404685946000082,16.32905993523491,0.10005301965640045,0.7666690523662623,0.2497127669825907,5.2773558480598926,-1.2177251852184434,12.799443519145225
23,1.19,3.85,-2.85,-15.6,-1.4,0.0629,-5.24,12.9,0.39899999999999997,-17.6,,,,,,1190000000.0,1.0383483552538744,-3.238738497438036,-0.17023556758913472,-1.1325560751605337,0.22973609866973,-4.026155158463663,9.857629768264307,-0.3368730619140077,-7.3950372065715335
24,1.24,-5.89,-2.7,3.03,0.102,0.9259999999999999,-0.561,2.57,2.04,1.55,,,,,,1240000000.0,-3.2721885327936304,-2.834707905910499,1.483481494939878,-0.11810855350677607,0.7609430776688025,-1.3271894583851216,5.478658130790971,0.9581359372375922,-1.4528107274770905
25,1.29,-7.27,-1.39,-0.0551,0.32299999999999995,0.10400000000000001,-1.68,0.9329999999999999,3.9,-0.986,,,,,,1290000000.0,-5.759464455871998,-1.7512393028148434,0.6884217433717718,0.24435492839415052,0.25973549483390546,-1.6019891029752722,2.7472751769626576,2.560973161172148,-1.1427063637089496
26,1.34,-11.7,-0.807,-0.747,0.461,0.126,-1.3,-3.93,5.09,-1.57,,,,,,1340000000.0,-9.45542429449605,-1.043100554323027,-0.05333034497609923,0.4223744255519628,0.1577034534186914,-1.3667735585959202,-1.2649482166210846,3.938881312020717,-1.4265593904207032
27,1.39,-10.9,-6.07,-1.59,-0.8440000000000001,-2.68,-0.418,-3.38,0.0904,-2.75,,,,,,1390000000.0,-10.354180393716671,-4.81305836384816,-0.8474021725745088,-0.6182185510959506,-2.0072916201911024,-0.6277857982122664,-2.535834977063942,1.8420852785146797,-2.3057266531231404
28,1.44,-0.8,-18.3,4.53,-1.36,-1.41,-2.34,6.46,-12.0,2.69,,,,,,1440000000.0,-4.409957376523903,-14.927682076682983,1.9313626912980064,-1.2277480680326112,-1.551594441718243,-1.9614077992013965,2.869558446967157,-5.699598616021093,1.0129559876781071
29,1.49,-10.4,-12.6,1.2,-0.0919,-1.53,-1.05,-3.95,-5.58,-1.07,,,,,,1490000000.0,-8.136718390659052,-13.182021241385806,1.5534321084049791,-0.2944099361400676,-1.5351191751705038,-1.2515237110184612,-1.2281597281051075,-5.634436791520569,-0.37076062708778323
30,1.54,-4.55,-5.44,2.91,-0.41100000000000003,-0.555,-0.504,1.56,1.83,0.489,,,,,,1540000000.0,-5.905207991211647,-7.375839410325651,2.2544366386731363,-0.39021321104910567,-0.7873479033577755,-0.6692869176327318,0.44718224122460004,-1.567533436762047,0.20038203328325876
31,1.59,-5.52,-7.08,1.86,-0.389,-0.8420000000000001,-0.14,1.21,2.04,0.27399999999999997,,,,,,1590000000.0,-5.6655472113600585,-7.153972560408726,2.050612086430376,-0.3892163017795705,-0.829044132604138,-0.2570320069778893,0.9055421707081899,0.397985196009635,0.24928675645221127
32,1.64,-6.09,-8.22,1.7,0.21,0.306,0.0196,-0.40700000000000003,-0.6829999999999999,-0.956,,,,,,1640000000.0,-5.929624593420898,-7.953447342813566,1.8694338250988878,0.10316593892478931,0.03692545356219301,-0.04156682213020277,0.11686531806855449,-0.19097583775921678,-0.5513903761520396
33,1.69,-4.5,-2.99,1.91,0.619,0.022,-0.348,1.25,4.51,-0.728,,,,,,1690000000.0,-5.040170231605707,-4.2310760084599055,1.8903963197589364,0.5270321480644822,0.02553824081714056,-0.28024375550977676,0.7977402727444769,2.370291108443938,-0.6687128955349594
34,1.74,-5.53,-4.97,1.02,-0.604,-1.12,-1.11,-0.0885,2.72,-1.72,,,,,,1740000000.0,-5.3449225509664515,-4.785236961261748,1.4406202769776522,-0.4023486685031834,-0.8484377192121557,-0.9265304505411206,0.26521857384670255,2.5608255602932783,-1.367087438684188
35,1.8,-3.29,-10.9,4.48,-0.581,-0.363,-2.0,1.42,-2.67,1.82,,,,,,1800000000.0,-4.066433170963608,-9.371045111011107,3.0112153403062223,-0.5491482950349247,-0.47807828902703137,-1.7626423568782865,0.9591005408451401,-0.28912317682415223,0.7501084258632724
36,1.85,-2.7,-12.7,1.43,-0.35,-1.52,-5.45,0.514,-3.86,-1.4,,,,,,1850000000.0,-3.2162939755250237,-11.867617495100838,2.1941245847388178,-0.3855060719206917,-1.2730011250496398,-4.634678615769694,0.6916497105240735,-2.234669884108417,-0.6782177903917812
37,1.9,0.235,-6.08,0.46399999999999997,-0.75,-0.19699999999999998,-4.12,0.892,3.35,-2.14,,,,,,1900000000.0,-1.0690390289928513,-7.527154043917492,1.3000852137880434,-0.6850145106289804,-0.4520777533589473,-4.233801837770254,0.8120356714806617,0.8080663333473836,-1.6492860399335765
38,1.95,-0.6779999999999999,-13.5,1.34,-1.39,0.502,-1.9,-1.62,-4.02,-0.8059999999999999,,,,,,1950000000.0,-0.8257504094984167,-12.006530791278601,1.3207111387865933,-1.2643083827152874,0.275825484392924,-2.416032973707587,-0.6493194588854471,-1.8224441158713836,-1.08908750962711
39,2.0,-2.56,-19.7,3.0,0.0583,0.222,-0.585,-4.01,-10.1,1.29,,,,,,2000000000.0,-1.9047300374032339,-17.77630130787528,2.1884812166070535,-0.1775073659676445,0.23475991798589585,-0.9898644448232747,-2.668676383916863,-6.332365238180446,0.4913504827477426
40,2.05,2.68,-8.38,-2.8,0.6729999999999999,0.19699999999999998,0.524,1.21,1.12,-4.76,,,,,,2050000000.0,0.9477028373929637,-10.72948084966323,-0.3893091755918192,0.5213633341935706,0.20595139639496418,0.18926548798706255,-0.33806760882065,-2.2720389363202296,-2.9971442764553116
41,2.1,1.12,-9.82,1.13,0.244,0.0122,-0.0421,-0.226,-0.33899999999999997,-0.996,,,,,,2100000000.0,1.0548991375655503,-10.047409226335947,0.3957916297849019,0.29345100984897965,0.05813087313471957,0.00905782372596739,-0.2707287196562692,-1.2188472805169426,-1.6677755611565808
42,2.15,-0.335,-9.58,1.62,0.122,0.10300000000000001,-0.0396,-1.66,-0.125,-0.603,,,,,,2150000000.0,0.19016033585337921,-9.696872417401762,1.0283995279044988,0.15256793908063485,0.09236328613626218,-0.028841141917570555,-1.1055103324629743,-0.62287851912223,-0.9604405876681452
43,2.2,0.012,-10.1,2.62,0.235,-0.009770000000000001,0.127,-1.3,-0.6859999999999999,0.365,,,,,,2200000000.0,0.07931621043491266,-9.99920099606168,1.8508566989852475,0.2203032174624813,0.014441804723675886,0.09254156307764969,-1.222374738092888,-0.6572694484541431,-0.07994472462391478
44,2.25,1.17,-9.31,2.93,0.5820000000000001,-0.011,0.5579999999999999,0.0606,0.121,0.493,,,,,,2250000000.0,0.7578953425252465,-9.482330301740214,2.4085024655118303,0.5175132267920621,-0.004968743760276631,0.45508129672422204,-0.45146428807494776,-0.23323925054880584,0.30066490924273975
45,2.3,-0.39,-8.01,-0.654,-0.168,0.10400000000000001,0.32799999999999996,-1.32,1.39,-3.28,,,,,,2300000000.0,0.04372148787046537,-8.37814627601859,0.8259587766033132,-0.04578009519523363,0.0781677771576659,0.35609928298908233,-0.9733477487388761,0.6511619764801329,-2.0779861000844857
46,2.35,1.75,-11.3,4.77,-0.369,-0.584,0.622,1.07,-1.81,2.4,,,,,,2350000000.0,1.1052986823796913,-10.569410638267499,2.864036335415696,-0.3113732311791789,-0.4270259284829898,0.5632059847731818,0.25445364478268784,-0.6897707540193534,0.8967593001841729
47,2.4,2.7,-11.4,1.68,0.40399999999999997,0.366,0.0153,2.18,-1.96,-0.7559999999999999,,,,,,2400000000.0,2.097457107528375,-11.192316534746315,2.25218725323941,0.27645637933398737,0.17800458614865644,0.13644891692629985,1.4114708587943232,-1.381839003977492,-0.2011757668073817
48,2.45,-3.17,-8.32,1.5,0.27899999999999997,0.19899999999999998,0.136,-3.65,1.11,-1.15,,,,,,2450000000.0,-1.1797408291793086,-9.038202841139608,1.8634955835957014,0.27854651035880934,0.19402280979255576,0.1360992669455046,-1.6298523497003918,-0.024192246727178013,-0.831483751074152
49,2.5,-1.33,-8.93,2.75,-0.162,-0.32899999999999996,0.18899999999999997,-1.66,0.514,0.135,,,,,,2500000000.0,-1.273226009607434,-8.957055607950329,2.3215954520456585,-0.08345512389079873,-0.2050117582223041,0.17730297793595468,-1.6479673695934283,0.2690349446135657,-0.18944445407496546
50,2.55,1.68,-10.3,2.6,-0.217,-0.797,-0.069,1.34,-0.779,0.093,,,,,,2550000000.0,0.5641512439079011,-9.964206098914122,2.4654605481985254,-0.19319032681659434,-0.6566627493693782,-0.014539306809908281,0.1474345385045508,-0.3019735403795154,-0.001815392599816612
51,2.6,1.83,-11.8,2.22,0.0858,-0.319,-0.27699999999999997,1.34,-2.28,-0.215,,,,,,2600000000.0,1.3517109577356623,-11.34097245590857,2.338619181531521,0.03605891610117984,-0.39904662726909335,-0.21896664152549028,0.8640201220350027,-1.3796760525054086,-0.1434348423324645
52,2.65,-0.505,-9.2,0.711,0.287,-0.0611,-0.187,-1.15,0.258,-1.81,,,,,,2650000000.0,0.19654080793075557,-9.735335350812218,1.4975493486330187,0.24225980615486722,-0.14121391821579865,-0.1940682322354988,-0.3461589192915405,-0.4874091173834889,-1.2505411732627445
53,2.7,-2.82,-7.95,1.92,-0.163,-0.12300000000000001,0.136,-3.46,1.5,-0.62,,,,,,2700000000.0,-1.6802283328475323,-8.396410729309242,1.715850086426569,-0.0907463791664033,-0.12731780977019294,0.06301776074358367,-2.2171954910915583,0.5954054319307844,-0.8316699756329434
54,2.75,-0.242,-10.8,2.84,-0.257,-0.48,0.141,-0.8240000000000001,-1.34,0.42700000000000005,,,,,,2750000000.0,-0.7854210729621047,-10.198999113954903,2.296752875716379,-0.22735870204825598,-0.39639284729287216,0.12375714636544999,-1.380055889481764,-0.4590755897817582,0.004469868464296423
55,2.8,2.93,-10.0,2.09,0.16399999999999998,-0.312,0.11199999999999999,2.38,-0.504,-0.24100000000000002,,,,,,2800000000.0,1.5261630687152667,-10.04975836501389,2.189913583397326,0.09422480360792174,-0.3320062461553015,0.1145996558943324,0.8792765641732669,-0.48355208702418995,-0.15859681381602755
56,2.85,0.642,-10.0,0.5720000000000001,0.42100000000000004,0.479,0.016,0.126,-0.557,-1.91,,,,,,2850000000.0,0.9760727273384614,-10.01244173825526,1.353859104964686,0.3627393726660499,0.286742160700726,0.03780162686766379,0.426649746471552,-0.5235692369681123,-1.3220614261266548
57,2.9,-0.47200000000000003,-9.76,2.32,0.15,0.335,0.16699999999999998,-0.899,-0.31,-0.248,,,,,,2900000000.0,0.07514068403920082,-9.82312149871275,1.8531109734815925,0.1879292299853847,0.3235599613163562,0.13843260845590594,-0.36990314169805055,-0.407208759162794,-0.6085578199122534
58,2.95,-0.711,-9.47,2.69,0.10300000000000001,0.228,0.139,-0.9940000000000001,-0.0296,0.0663,,,,,,2950000000.0,-0.4139641383844866,-9.558295811622367,2.285572190903364,0.11814200150683275,0.2506535270270749,0.1388745414662494,-0.7449088130433862,-0.20147343532639617,-0.16024688283577693
59,3.0,1.14,-9.66,1.83,0.192,-0.10400000000000001,-0.0916,0.889,-0.226,-0.8390000000000001,,,,,,3000000000.0,0.5528492297035308,-9.634569450082006,2.0501559457037484,0.17883188578345943,-0.019925530312198292,-0.04063917556681329,0.23686996911801927,-0.21483641961648983,-0.6111454754968876
60,3.05,-1.03,-9.31,1.6,0.0773,0.158,0.0318,-1.32,0.105,-1.12,,,,,,3050000000.0,-0.43193526021579887,-9.391156681919238,1.8175385274811477,0.0954020805578054,0.11582082571120386,0.01578278699568323,-0.6986179497284895,-0.040577621072017234,-0.949179717740338
