,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.0484,2.49,3.63,8.8,-0.284,0.616,-0.006640000000000001,-1.86,-1.89,1.96,,,,,135,48400000.0,1.2072720795040597,2.0648702175261957,5.9908303790758515,-0.2728404431361119,0.568231780835971,0.09616161061234145,-1.5064746271625684,-1.3746481067745027,1.161780578387157
1,0.0984,1.19,3.03,9.38,-0.029,0.64,0.0422,-2.85,-2.4,2.29,,,,,135,98400000.0,1.2039277566424598,2.535800031391344,6.672829873771357,-0.1327546812757889,0.5827536906181,0.06349599246575434,-1.8042131575270073,-1.9270460996633512,1.4289821854681222
2,0.14800000000000002,-2.86,2.37,6.98,-0.6459999999999999,0.526,0.512,-6.81,-2.98,-0.228,,,,,135,148000000.0,-0.014951806779444965,2.4380565723382026,6.766645421321451,-0.46221355629093996,0.5664891860154827,0.3656269320562038,-3.4754494271502026,-2.5902683423423047,0.8521013675743216
3,0.198,8.61,2.06,7.49,-1.14,0.6729999999999999,1.95,4.61,-2.65,-0.132,,,,,135,198000000.0,2.9901184924840654,2.208970883476583,7.021477590444069,-0.9030144617712208,0.6013207309516372,1.444199621132804,-0.40131453626998637,-2.6286128580940664,0.4660868574875587
4,0.248,1.63,0.0718,8.4,-1.71,0.9790000000000001,1.12,-2.44,-3.86,0.38799999999999996,,,,,135,248000000.0,2.489088720416259,0.9085221922371598,7.533429619767429,-1.428670781075673,0.7315652314984439,1.2232639819558988,-1.211716245404719,-3.4209942917972436,0.434218516765192
5,0.298,0.32799999999999996,1.01,9.2,-0.413,1.39,0.7040000000000001,-3.21,-2.19,0.63,,,,,135,298000000.0,1.676012248415999,0.9703098799432356,8.164776207634342,-0.76695359869381,0.9636107044521369,0.8693577181676708,-2.0184813960500883,-2.628624546013613,0.5151976039206854
6,0.348,-1.22,1.19,11.2,1.94,1.24,1.3,-4.27,-2.29,2.53,,,,,135,348000000.0,0.5776159020808849,1.1040876303289464,9.323297261118869,0.9966882155366147,1.0618883437290587,1.1628667086242626,-2.9324432364575355,-2.4106493258013133,1.3523615811289478
7,0.39799999999999996,0.563,-1.62,10.6,0.278,1.3,1.27,-2.53,-5.39,2.06,,,,,135,398000000.0,0.5720552966367346,-0.5547382368973646,9.811999413059478,0.5284451864112302,1.1468668617661926,1.2358846593032307,-2.768766544782064,-4.328489331202261,1.6468457764846935
8,0.44799999999999995,-1.77,-0.124,13.5,-1.11,3.77,-0.645,-3.73,-3.45,4.53,,,,,135,448000000.0,-0.3200304239381646,-0.29244074230197326,11.225242481376014,-0.5390424776266255,2.084442646657904,-0.04605468933468626,-3.1599699102936034,-3.762995973556956,2.847305134801726
9,0.498,-3.1,1.07,10.8,3.1,0.258,0.478,-3.85,-2.43,1.72,,,,,135,498000000.0,-1.3793954146028806,0.5372161102747908,11.06222223364292,1.8318839423415798,1.4312170733223788,0.31112102544660336,-3.4408649835394476,-2.9049315614331275,2.377844726058549
