,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.251,0.113,7.75,5.91,-0.389,0.35100000000000003,-0.0978,2.19,1.61,0.7070000000000001,251000000.0,0.12239048163074909,7.3721895208123405,5.922891972967284,-0.4585568395886524,0.0773394293470534,-0.14754576551484372,1.2942413582521666,1.6340701394511203,0.04272852072234504
1,0.271,-0.0575,7.2,6.33,-0.833,-0.894,-0.358,-0.7909999999999999,2.02,-1.96,271000000.0,0.018455761884253102,7.271245089723401,6.147782014916833,-0.6942873744424427,-0.5241208253513224,-0.28191349541199007,0.22024629103641336,1.8596074603766652,-1.0198472453521403
2,0.321,0.496,6.59,6.34,-0.965,-0.8340000000000001,-0.419,-0.14400000000000002,1.53,-1.57,321000000.0,0.31993755688650205,6.837050622477158,6.264801531945626,-0.8734861546054496,-0.7271197332937924,-0.37372706888133705,0.009515224199263816,1.6501653959196392,-1.3451740315274339
3,0.371,0.982,6.27,6.94,0.14400000000000002,-1.01,-0.0715,-1.33,1.62,-0.115,371000000.0,0.7426346504463064,6.471895938152548,6.681552371070827,-0.19623226480149825,-0.9136247042236013,-0.17029008771662524,-0.7801618160277979,1.6307965839670042,-0.6055409649616617
4,0.42100000000000004,0.0718,6.23,8.43,0.517,-1.04,-0.172,-1.55,1.16,0.491,421000000.0,0.3137125856551813,6.315924118207345,7.762897535976931,0.2787974761884125,-0.9970065756337497,-0.17144169485988658,-1.2354186379227274,1.328103478110819,0.055466198480320084
5,0.47100000000000003,0.10099999999999999,6.0,8.37,-0.319,-0.33,-0.41600000000000004,-1.86,1.26,-0.425,471000000.0,0.17768147331328074,6.112186469741396,8.138474985166908,-0.1193771990098269,-0.5568806864598885,-0.336157866901078,-1.6049674258407904,1.2843097616015626,-0.23428302989777017
6,0.521,0.373,6.34,7.44,-0.0325,-0.442,-0.569,-1.89,1.45,-0.254,521000000.0,0.3025920395419928,6.259105229219921,7.706352634293821,-0.06151050301061111,-0.48107563779404966,-0.49298385414665846,-1.7736284921030046,1.3908586270964838,-0.24617428924962212
7,0.5710000000000001,0.0982,6.37,7.99,-0.0141,-0.282,-0.72,-1.56,1.04,-0.495,571000000.0,0.17187833916321618,6.330622213752882,7.881836412280228,-0.029931544669427636,-0.34971364814071926,-0.64588598317184,-1.647217182805557,1.1652346876275326,-0.39624197187701726
8,0.621,0.38299999999999995,6.06,7.7,-0.317,-0.0147,-0.638,-1.32,1.03,-0.973,621000000.0,0.306895844589393,6.156095363309705,7.7693395865300845,-0.22114073208444052,-0.12865160937803044,-0.6405745468711556,-1.4535911644777426,1.0782703253478558,-0.7440873615144081
9,0.6709999999999999,0.304,5.99,6.93,-0.528,0.486,-0.424,-1.25,0.909,-1.81,671000000.0,0.30504387413270256,6.048978747704883,7.250065308416488,-0.42553208861439334,0.27693228586179375,-0.4947051493091968,-1.33311898041823,0.9694189242908555,-1.386944260141491
