,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.0476,0.812,5.72,9.93,-0.422,1.65,0.437,3.41,1.5,1.47,0,1,0,0,47600000,-0.221183627,3.65207542,6.460828503,-0.256192106,1.403031048,0.57349529,1.71493247,0.813756235,0.551568551
1,0.0976,-2.14,5.36,8.53,0.355,1.34,0.904,1.01,1.07,0.292,0,1,0,0,97600000,-0.530054164,4.166878623,6.981007338,0.201431027,1.371895046,0.814876034,1.573246382,0.888250177,0.46483879
2,0.148,-1.79,5.58,5.92,-0.11,0.966,1.51,1.54,0.965,-2.07,0,1,0,0,148000000,-0.850889367,4.760492549,6.596888796,-0.041494754,1.138169148,1.346939948,1.563061611,0.919635718,-0.674412086
3,0.198,-1.38,4.71,8.98,0.134,1.72,1.94,2.03,-0.106,1.15,0,1,0,0,198000000,-1.011361441,4.737396845,7.559886857,0.095660458,1.481484731,1.802017397,1.728161666,0.460626298,0.205506463
4,0.248,-2.04,4.85,5.63,-0.339,0.764,1.86,1.36,-0.268,-2.01,0,1,0,0,248000000,-1.346826034,4.790115579,6.75191331,-0.244072873,1.056419042,1.846515659,1.590935316,0.126133777,-0.882226166
5,0.298,-0.306,4.12,7.56,-1.45,1.53,2.25,2.98,-0.998,-0.14,0,1,0,0,298000000,-0.996755883,4.474349154,7.094175651,-1.186637247,1.337173564,2.156168514,2.119031138,-0.393696515,-0.516161879
6,0.348,-2.96,4.48,10.1,-0.873,-0.0189,2.72,0.268,-0.482,2.33,0,1,0,0,348000000,-1.66584355,4.477016688,8.372145966,-0.941495302,0.533159367,2.588879501,1.410033197,-0.434615914,0.889190296
7,0.398,-1.09,3.44,5.83,0.0272,0.701,3.33,-0.69,-0.724,2.15,0,1,0,0,398000000,-1.46847714,3.987240728,7.289957522,-0.184353494,0.632673658,3.157650398,0.603387856,-0.568795664,1.511926781
8,0.448,-0.606,1.24,10.8,-1.3,3.35,2.86,1.55,-3.95,2.72,0,1,0,0,448000000,-1.172148642,2.689557216,8.784796565,-1.056353776,2.243807081,2.929219311,0.96738004,-2.136841693,2.108661178
9,0.498,-0.299,1.62,10.2,0.0431,0.0409,2.45,1.99,-3.54,2.19,0,1,0,0,498000000,-0.871839569,2.184322847,9.387578243,-0.197009855,0.937677935,2.561443762,1.360757706,-2.787593842,2.148839746
10,0.548,-0.235,1.24,11.5,0.493,1.83,2.61,1.7,-4.25,3.61,0,1,0,0,548000000,-0.652707613,1.738241531,10.28736866,0.342308658,1.466746101,2.598708037,1.491276146,-3.465833468,2.87060548
11,0.598,-0.0144,1.75,6.7,-0.0553,2.81,2.03,1.77,-4.16,-0.918,0,1,0,0,598000000,-0.433028013,1.743796039,8.759298864,0.031533806,2.263176953,2.162254544,1.598517197,-3.787777598,0.999154838
12,0.648,-0.342,4.88,11.4,1.96,1.41,2.33,2.08,-1.28,4.21,0,1,0,0,648000000,-0.401697257,3.225288751,9.884132944,1.538842045,1.757318377,2.29099029,1.783775285,-2.624705943,2.585210799
13,0.698,0.283,3.01,9.02,-0.0504,1.77,2.81,2.29,-3.93,2.39,0,1,0,0,698000000,-0.166024183,3.123589756,9.51604609,0.296674779,1.764837448,2.689302868,1.978554843,-3.230083029,2.488782883
14,0.748,1.62,0.838,10.4,-0.218,2.74,2.26,3.44,-6.24,3.84,0,1,0,0,748000000,0.448735536,2.043913341,9.892576137,-0.105600103,2.343022693,2.359835516,2.540875409,-4.626040286,3.156241424
15,0.798,5.83,-4.72,1.86,-2.8,3.77,0.866,8.01,-11.8,-4.6,0,1,0,0,798000000,2.301009711,-1.151252191,6.471008496,-2.211569616,3.189094154,1.213395419,4.645234155,-7.953222573,-0.675096866
16,0.848,0.663,-4.39,11.3,-4.73,3.54,-1.03,4.05,-10.1,4.03,0,1,0,0,848000000,1.737192079,-2.681185351,8.527972839,-4.179999673,3.397150296,-0.508292408,4.416205489,-8.948868109,1.649072515
17,0.898,-4.63,-2.4,13,-2.25,3.08,-1.3,0.35,-6.34,5.51,0,1,0,0,898000000,-0.45445524,-2.548357885,10.43288409,-2.671492882,3.209108145,-1.115886258,2.851647963,-7.738911619,3.556248889
18,0.948,-5.72,-0.728,7.06,-2.13,1.09,-0.992,0.3,-3.64,-0.114,0,1,0,0,948000000,-2.266906054,-1.688449612,8.996165402,-2.248256791,1.952664254,-1.020810066,1.869848035,-5.837893755,1.743261833
19,0.998,-9.09,0.397,7.71,-3.26,0.0935,-0.627,-2.8,-1.33,0.387,0,1,0,0,998000000,-4.615480857,-0.703316202,8.448308513,-3.03904526,0.850344107,-0.718581558,0.073026288,-3.747195664,1.073311312
