,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.0475,0.7609999999999999,5.1,8.1,-1.69,0.293,-0.159,-0.895,-1.29,0.841,60.0,47500000.0,0.15569595618919446,3.6164599156798403,6.968846578206014,-1.4722217519091978,0.3481324942154178,-0.20616906195603638,-0.9729975312687079,-0.9284585301235893,0.6013225656211468
1,0.0975,-0.637,4.29,8.83,-1.29,0.8959999999999999,-0.516,-1.92,-1.5,1.02,60.0,97500000.0,-0.0057344429474410485,3.7382095572658205,7.640378146326755,-1.3475886171394338,0.6654276994528026,-0.40390422608305165,-1.1975436935354924,-1.0303702897136517,0.7537500053307553
2,0.147,-0.7709999999999999,4.47,8.72,-0.373,-0.29600000000000004,-0.0799,-1.79,-0.9440000000000001,0.612,60.0,147000000.0,-0.2326631351075054,3.937693801946255,8.141432220061567,-0.6423804516056203,0.050514105800319786,-0.1830164987193895,-1.397634942493093,-1.007128907577685,0.6873816050360027
3,0.19699999999999998,-0.397,4.74,7.22,0.231,0.26,-0.0977,-1.42,-0.6579999999999999,-0.9059999999999999,60.0,197000000.0,-0.2884856516239351,4.192944978433979,7.687895622183231,-0.007790278109640392,0.18610747358396543,-0.12448143689523444,-1.4061136558680476,-0.8973035809132477,-0.10311518814235843
4,0.247,1.4,4.2,6.13,-0.591,-0.0953,-0.0531,0.499,-1.16,-2.02,60.0,247000000.0,0.315950665579903,4.1953343507979755,6.909954827111522,-0.4316755559607067,0.0036933195109139227,-0.07547657237599015,-0.6542475299058244,-0.9853832027143038,-1.06749923537474
5,0.297,-0.244,4.93,8.97,-0.162,0.34299999999999997,-0.11699999999999999,-1.05,-0.213,0.66,60.0,297000000.0,0.1113291554063908,4.450665938202409,7.9423223719298175,-0.23566695896610002,0.22367895704364524,-0.10398502856876077,-0.8126680587182225,-0.7194350340073286,-0.19542508729266828
6,0.34700000000000003,-0.512,5.48,7.22,0.0473,-0.245,-0.0555,-1.15,0.331,-1.1,60.0,347000000.0,-0.11831438109570658,4.812269917998833,7.580018392158671,-0.02999740343940155,-0.08019057192044823,-0.07069679266235535,-0.948385294630129,-0.35369328571944986,-0.6524525453055439
7,0.397,-0.6679999999999999,5.05,7.44,-0.9059999999999999,-0.46399999999999997,0.203,-1.31,0.442,-1.16,60.0,397000000.0,-0.321480233942685,4.896158637246439,7.509772289732337,-0.6667045732979131,-0.3290353462447455,0.11721458939103685,-1.094133148118859,-0.07534628165453788,-0.9089381327258994
8,0.447,0.22699999999999998,3.98,9.12,-0.9209999999999999,-0.207,0.315,-0.76,-0.618,0.515,60.0,447000000.0,-0.11850088131823366,4.572267025970766,8.31765493002787,-0.8515347583956516,-0.24991308683095287,0.25300767633135546,-0.9593757177220583,-0.26555058422424327,-0.18932491590166756
9,0.49700000000000005,-0.0215,3.9,10.5,-0.564,-0.583,0.161,-1.14,-0.353,1.71,60.0,497000000.0,-0.08258501566145074,4.334413999145847,9.412594909934661,-0.6425451567846439,-0.4658717570989761,0.18983816961643463,-1.0322388455733134,-0.2962277438979222,0.7705454680088568
10,0.547,0.7809999999999999,2.74,11.1,-0.263,-0.8420000000000001,-0.0861,-1.51,-0.151,1.67,60.0,547000000.0,0.23723297087051123,3.770115331595292,10.25921350844065,-0.3666794073397393,-0.7097365053192353,0.00038791621947839583,-1.2249814010096407,-0.24526417479159113,1.225108181419172
