,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman
0,0.0579,2.2,5.04,7.98,-0.43799999999999994,0.26899999999999996,-0.21100000000000002,-0.0434,-0.767,0.40399999999999997,57900000.0,1.4269924751001866,3.5615257459131966,6.14444834068361,-0.40610045446808857,0.3444777212682307,-0.1911874853005136,-0.09809036816702135,-0.532531949056195,0.3794380101974558
1,0.10800000000000001,1.99,4.97,8.78,-0.39399999999999996,0.843,-0.214,0.026,-0.6659999999999999,0.993,108000000.0,1.5322799436417798,3.938109350869159,6.782719526287864,-0.3974571677397649,0.646692452130915,-0.2064392670935518,-0.06792302501456637,-0.567157828036598,0.559812493467214
2,0.158,1.29,4.76,8.48,-0.27,0.0519,-0.0647,-0.435,-0.726,0.5429999999999999,158000000.0,1.464090108314547,4.249745653469322,7.3741316823509155,-0.30178724572697224,0.25187582137711556,-0.105564571705107,-0.1964779823834018,-0.6259408698870843,0.552983940040721
3,0.20800000000000002,0.977,4.52,7.84,-0.511,0.11699999999999999,0.066,-0.76,-0.7959999999999999,-0.217,208000000.0,1.3047564656731712,4.36310767335372,7.556118212730298,-0.45929152940588924,0.16148572865794747,0.01714393995878527,-0.4176559777556227,-0.6958546474211179,0.21168997034337678
4,0.258,0.867,4.21,8.44,-0.251,0.48700000000000004,-0.0561,-0.711,-0.924,0.233,258000000.0,1.152779686481696,4.296852814691839,7.914897545899753,-0.30245229412486235,0.37986207921928006,-0.0352634931455645,-0.537253938147605,-0.7928190803490924,0.22137563637036908
5,0.308,0.364,4.32,8.18,-0.322,0.261,0.0984,-1.1,-0.726,-0.096,308000000.0,0.8722816039487681,4.30696756187355,8.023922596400366,-0.31717147412490143,0.30011267135368824,0.060378380488541994,-0.7696651235802667,-0.7641156311810128,0.07606729478363064
6,0.358,0.17,4.95,7.61,-0.7759999999999999,0.82,-0.0042,-1.08,0.168,-0.857,358000000.0,0.6200957303263483,4.58881651207079,7.85293049242002,-0.6626639669635104,0.648930486880967,0.0141696999697268,-0.8983956768923397,-0.36232807782991255,-0.35204337972534117
7,0.408,0.287,4.71,8.43,-0.33899999999999997,-0.446,-0.23199999999999998,-0.71,0.12,-0.177,408000000.0,0.5000069390106712,4.641983947848891,8.091685583709515,-0.41894879206397884,-0.08571286582157245,-0.16197561471344718,-0.8201298430278273,-0.1541902451964389,-0.2716797573322537
8,0.45799999999999996,0.785,4.36,8.77,-0.83,-0.29,-0.6779999999999999,-0.303,0.0121,0.0453,458000000.0,0.6029199061674251,4.518230297131172,8.372477519881365,-0.7284655109829125,-0.22277928310161108,-0.5312138965365156,-0.6051871282985565,-0.0824057251573686,-0.12612563658719514
9,0.508,0.536,4.22,9.03,-0.34700000000000003,0.445,-1.19,-0.361,0.10800000000000001,0.171,508000000.0,0.5787387382738951,4.387333998873804,8.644711500992107,-0.441226463907915,0.2252671315800394,-1.0026045709333808,-0.5036741354903098,-0.00020147771589043573,0.010318933345840525
10,0.5579999999999999,0.23199999999999998,4.43,10.1,0.535,-0.517,-0.853,-0.342,0.322,1.21,558000000.0,0.45341276175064976,4.406061013193349,9.24728233180752,0.29386061680522224,-0.27275691368685406,-0.8955558641300486,-0.4364592837964322,0.13890840634458154,0.561239155774889
11,0.608,-0.747,5.04,8.61,0.667,-0.701,-0.0983,-1.5,0.614,-0.107,608000000.0,0.019485546594178393,4.6843140374157235,8.983406101554193,0.5748301863767432,-0.5600865382945649,-0.32508398607943134,-0.8786276437217513,0.3440307961308692,0.25436748678802545
