,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.0521,2.09,3.53,7.91,-0.0504,-0.0886,-0.132,-0.0514,-1.53,-0.221,0,0,0,1,60,52100000,1.708596393,3.068312389,7.440501925,-0.150483962,0.200824615,-0.018782717,0.027722976,-1.395771561,-0.263146111,,,,,,,,,,2.403383839,1.376360859,1.594182139,2.139617589,-0.353392487,0.491925362,,,,,,
1,1,1,1,0.102,1.62,3.84,7.7,-0.675,1.08,0.288,0.0103,-0.903,-0.726,0,0,0,1,60,102000000,1.656482384,3.598582154,7.552232103,-0.550787894,0.857787505,0.206795057,0.01903112,-1.193334087,-0.523652993,,,,,,,,,,2.429833024,1.911849922,1.677559926,1.918787196,-0.115485686,-0.127618279,,,,,,
2,2,2,2,0.152,1.34,2.37,8.27,-0.512,2.34,0.844,0.426,-2.16,-0.375,0,0,0,1,60,152000000,1.448896744,2.695982885,7.924496839,-0.520299184,2.004508711,0.691776728,0.255870875,-1.682234523,-0.429509683,,,,,,,,,,2.104453598,2.130783929,2.015024186,2.226206857,-0.094294768,-1.479551578,,,,,,
3,3,3,3,0.202,1.05,1.38,9.96,-0.118,1.74,1.06,0.569,-3.15,1.28,0,0,0,1,60,202000000,1.184129843,1.724826253,9.020045782,-0.203658252,1.79951449,0.972573288,0.442493652,-2.457086365,0.668931594,,,,,,,,,,1.850075123,1.364846373,3.247927103,2.72725286,-0.596314738,-1.834058684,,,,,,
4,4,4,4,0.252,0.795,0.804,8.49,-0.115,0.456,0.376,0.617,-3.6,-0.269,0,0,0,1,60,252000000,0.925502041,1.045074941,8.732571254,-0.13387309,0.758199434,0.517594233,0.546895651,-3.066029123,0.065162434,,,,,,,,,,1.751502756,1.021838719,2.875440173,3.415809159,-0.39685833,-0.805490024,,,,,,
5,5,5,5,0.302,-0.00239,1.53,10.8,-0.0883,2.28,-0.256,0.773,-2.85,2.05,0,0,0,1,60,302000000,0.308703941,1.403052753,9.855645352,-0.098001253,1.937703536,-0.07239416,0.682250256,-2.950699178,1.343146454,,,,,,,,,,1.114927321,1.835177528,4.293333428,2.915879629,-0.876558564,-1.187059588,,,,,,
6,6,6,6,0.352,-2.06,2.48,9.43,0.218,0.332,-0.814,-1.01,-1.93,0.729,0,0,0,1,60,352000000,-1.265872114,2.198070041,9.624348567,0.150732068,0.693168328,-0.637986519,-0.330894755,-2.405550038,0.947702263,,,,,,,,,,1.014854005,1.212824472,4.138592029,2.212618352,-0.105970705,0.321236891,,,,,,
7,7,7,7,0.402,-1.27,2.19,11,-0.37,0.323,-0.286,-0.726,-1.64,0.628,0,0,0,1,60,402000000,-1.268616084,2.192112667,10.37193338,-0.259150549,0.40626138,-0.369540846,-0.567446818,-1.996636096,0.741847684,,,,,,,,,,1.31803906,1.167942783,4.765931815,1.956047181,0.05067656,0.285449044,,,,,,
8,8,8,8,0.452,-2.49,2.76,9.2,0.165,0.203,-0.633,-1.25,-1.71,0.559,0,0,0,1,60,452000000,-2.080522517,2.611334946,9.735047935,0.074710085,0.248719252,-0.570470351,-0.976096855,-1.843528054,0.624112983,,,,,,,,,,1.114707002,0.921173202,4.216584735,1.618976953,0.414874495,0.665838926,,,,,,
9,9,9,9,0.502,-1.03,1.69,8.65,0.969,-0.425,-0.256,0.33,-2.91,0.0916,0,0,0,1,60,502000000,-1.382194976,1.931192784,9.145378372,0.778630398,-0.273461418,-0.330636719,-0.194125915,-2.413191785,0.281230513,,,,,,,,,,1.605254491,0.253057572,3.458914758,2.441410237,0.161124403,0.70010049,,,,,,
