,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.0442,2.54,4.86,6.28,-0.8959999999999999,-0.0751,-1.26,10.9,2.62,1.72,60.0,44200000.0,1.8260358459676127,3.7746350063485865,6.369765387615157,-0.8920833738537501,-0.07261706497888662,-1.2434635548015354,9.279728255834202,2.496304750710669,2.3081623697413867,,,,,,,,,,5.290379025131425,7.338986883862589,4.416178970248732,-3.987789307899424,2.8329439712770497,1.7576676721782245,,,,,,
1,1,1,1,0.0942,1.64,4.2,8.67,-1.02,0.255,-1.35,10.3,2.84,4.28,60.0,94200000.0,1.7662579421522917,3.8749923781683284,7.205409174524982,-0.9800464309370484,0.12512819928299052,-1.3122350612277207,9.654289489601148,2.5770452575775544,3.025661153198532,,,,,,,,,,5.674983802640443,7.3321721503887,4.70686725578369,-4.385738231737872,2.877713560436032,1.4354744020099708,,,,,,
2,2,2,2,0.14400000000000002,0.8809999999999999,4.22,8.18,-0.84,-0.986,-1.11,9.5,3.57,3.54,60.0,144000000.0,1.3947905839437913,3.9896059972650217,7.6553417694173245,-0.8785987838159891,-0.6021576798533048,-1.1741512575028483,9.58234747963452,2.9055648717058777,3.263912119503216,,,,,,,,,,5.070039806794728,7.482423658092188,5.5531968922347605,-4.092137919164996,2.445462902462212,1.9560954542969644,,,,,,
3,3,3,3,0.194,1.59,4.36,8.98,-0.997,-0.262,-1.25,10.0,4.43,3.97,60.0,194000000.0,1.4828177030316798,4.127594820503614,8.302753931801162,-0.9646939244548144,-0.3774755231754781,-1.226221031564084,9.788294530939098,3.4714564161243664,3.6101730319325287,,,,,,,,,,5.52771692648134,7.7048494041081925,5.739328992468977,-4.165095986904551,2.577139764165352,1.643569687592491,,,,,,
4,4,4,4,0.244,0.905,4.52,9.1,-0.3720000000000001,-0.807,-1.11,9.19,5.27,3.9,60.0,244000000.0,1.2168945601446923,4.279861963444592,8.697964902327017,-0.5335962105838279,-0.6614817663800785,-1.1463936111072472,9.48920290538578,4.167092629503353,3.754319838016935,,,,,,,,,,5.152894626095244,7.825320881746935,6.371945463390225,-3.6694764186757887,2.7498300766145403,1.696077694807584,,,,,,
5,5,5,5,0.294,1.71,4.38,6.69,-1.56,0.7609999999999999,-0.727,9.85,5.66,1.36,60.0,294000000.0,1.4451585113172842,4.319294557035793,7.6990246399786075,-1.280169748374532,0.27919082922126914,-0.8583144849986268,9.670179508522928,4.753170284301669,2.5592977284010745,,,,,,,,,,5.968534886311648,8.160090303773375,5.3238324195192925,-3.242503450872676,3.0694753056358337,0.9333355977422616,,,,,,
6,6,6,6,0.344,0.785,3.03,5.98,-2.11,4.12,-0.921,9.35,5.13,1.68,60.0,344000000.0,1.139052126921371,3.808880373017766,6.843061739009182,-1.883762833478452,2.8191132399654597,-0.9013730363475084,9.509442442794027,4.9019073553709465,2.120047630131483,,,,,,,,,,8.17623416887832,7.260030310362593,3.4735544496794057,-3.2118844849464105,4.3816625489090875,-1.4036678895450885,,,,,,
7,7,7,7,0.394,-0.101,0.943,8.53,-0.7659999999999999,4.25,-0.977,9.03,3.76,6.33,60.0,394000000.0,0.5637806725862644,2.6721190365816665,7.6832373132170275,-1.0707361985617831,3.765358419164015,-0.9533210636188256,9.268701499576704,4.450298837536036,4.223577543217871,,,,,,,,,,8.19164306656476,5.923012102470888,3.506925383422677,-3.756670588352127,5.371053067261403,-2.7962086385077547,,,,,,
8,8,8,8,0.444,-1.06,0.448,12.2,-0.363,-2.55,-0.519,8.05,3.61,10.4,60.0,444000000.0,-0.18960991201095434,1.7892937943055167,9.932928438946265,-0.5559504594029478,-0.4109877857949629,-0.6549866685470678,8.656727635168837,4.117732882944234,7.309836898329119,,,,,,,,,,4.520586722753251,5.89523445988183,7.1765143808448455,-3.864148234429144,2.4685283929273143,0.6758061007502649,,,,,,
9,9,9,9,0.494,-0.675,-0.754,9.03,-1.24,0.5489999999999999,-0.434,8.23,2.66,6.73,60.0,494000000.0,-0.4148268109307259,0.7795195749353487,9.48319484933002,-1.053507256634137,0.2238521229727424,-0.5031912956846465,8.442442337870322,3.540652924716435,7.0200976839791815,,,,,,,,,,4.8013699490753154,5.256776556338627,6.354141914425697,-3.9425260296965625,2.2574555124224767,-0.0336514126421805,,,,,,
