,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.0,4.64,5.47,6.09,-0.945,1.11,-0.5579999999999999,3.49,0.904,-2.58,90.0,0.0,3.4118384348723056,4.108463098963574,4.820280442512222,-0.799298206725673,1.0007703608885967,-0.4519047839964052,2.289814945900921,0.6797667904674685,-2.077651649862166,,,,,,,,,,3.4019391405417587,-2.2970331083033155,2.994913676774282,-1.500931033473934,-1.2324480197706185,-2.0923839965854483,,,,,,
1,1,1,1,0.0495,4.95,5.69,5.85,-0.276,0.833,-0.294,2.29,0.96,-2.61,90.0,49500000.0,3.7669826629597503,4.4808087846462845,5.1942012739749215,-0.42657785571997703,0.8916655610586679,-0.3487275710813135,2.289870298899042,0.7502229834392719,-2.290845237386892,,,,,,,,,,3.1663457004888285,-2.479843871152238,3.157903448889768,-1.6369863479183442,-1.3177924637257137,-2.3726314701652047,,,,,,
2,2,2,2,0.0995,3.18,5.54,6.02,-1.1,1.05,0.187,1.56,0.79,-3.76,90.0,99500000.0,3.572738441509518,4.841287702411539,5.582601733353068,-0.9304147080678916,1.0022236864024496,0.0244083304760988,1.9922707700333049,0.7644872367654512,-3.033804697035365,,,,,,,,,,3.1823588455807617,-2.544628563662486,3.3531144737830143,-1.5838532071018685,-1.2066724647487816,-2.408510660367872,,,,,,
3,3,3,3,0.15,2.11,5.09,5.04,-0.193,0.337,-0.0641,2.3,0.8009999999999999,-1.49,90.0,150000000.0,3.0272956281263075,4.9365516500295,5.311955818401524,-0.3770355308948008,0.5348645649980595,-0.037584741168868285,2.1287557529107684,0.7790873567299506,-2.2153655713810867,,,,,,,,,,2.660516620372753,-2.417504183141841,3.476592280264037,-1.5871092340924404,-1.4220275431940672,-2.096784665814234,,,,,,
4,4,4,4,0.2,2.52,4.74,7.49,-0.381,0.659,-0.305,2.66,1.1,-1.41,90.0,200000000.0,2.8299707117781883,4.858154354410794,6.413701295572943,-0.3800111594158223,0.6221242507045919,-0.22498186379464147,2.370146071385568,0.9120620648338844,-1.7841098517046257,,,,,,,,,,2.790742737320754,-2.277427150511352,3.783589694407656,-1.7053681894919384,-1.0781463341833497,-2.0787336562607406,,,,,,
5,5,5,5,0.25,2.64,4.98,7.6,-0.124,0.535,-0.0683,2.73,0.8240000000000001,-1.22,90.0,250000000.0,2.7549474687289637,4.907444735288412,7.015815457869978,-0.1878541188127001,0.5608782700300902,-0.11517868010904027,2.534815809862912,0.8751380312060345,-1.4813936744324163,,,,,,,,,,2.556232050549819,-2.2682589042858505,3.9896213505010234,-1.8329148861074973,-0.9778948308049,-2.1666978631212324,,,,,,
6,6,6,6,0.3,2.59,4.6,7.83,0.477,-0.674,-0.192,2.19,1.1,-1.74,90.0,300000000.0,2.68944853518698,4.782457856292729,7.429398862852966,0.31117292123515705,-0.3072115293126721,-0.1690155405274282,2.376702003849611,0.9697945380726232,-1.620232357460184,,,,,,,,,,1.9170389817257305,-2.4205791190786567,4.259535623799716,-1.910381797561037,-1.2571224882029388,-1.9893461070441991,,,,,,
7,7,7,7,0.35,2.21,4.93,7.28,-0.264,3.79,0.0795,1.49,1.79,-3.15,90.0,350000000.0,2.4986870445351377,4.842542698216934,7.353493411092751,-0.1205411124550092,2.573030869470605,0.005145758117066995,1.969863230379292,1.315518703293408,-2.44160373769356,,,,,,,,,,3.3156803527636334,-2.007882380201867,3.877823063469767,-1.3506446230410298,0.08902305457062795,-3.0000498046676096,,,,,,
8,8,8,8,0.4,1.15,5.75,5.82,-2.29,2.19,1.27,2.28,0.773,1.29,90.0,400000000.0,1.9616907233853629,5.212319264447509,6.574329265507598,-1.7488963447268548,2.3037692938826417,0.8915638193203999,2.1121860530801952,1.0867412443166329,-0.4379680959794667,,,,,,,,,,3.283855022447862,-1.7970731528219543,3.78229191264752,-1.5835896423743436,-0.35295346263876404,-2.3769753429564715,,,,,,
9,9,9,9,0.45,0.285,4.35,10.2,-1.43,1.15,0.342,2.26,-0.00387,1.2,90.0,450000000.0,1.2939224420284667,4.860860886827365,8.416544911468087,-1.5095386739723935,1.4926968283844009,0.5064259266800566,2.1800218860432508,0.6267680945712577,0.4415213855957716,,,,,,,,,,2.901582142349972,-1.5126866849875664,4.439345339544751,-1.809599175478476,-0.1441334706899424,-1.9527694211636424,,,,,,
10,10,10,10,0.5,-0.285,2.78,10.3,-0.515,1.2,0.614,2.89,-0.334,1.13,90.0,500000000.0,0.665032831205161,4.012694021903004,9.373537686705141,-0.7630565374234879,1.2869379336210651,0.5818145524628233,2.5058551156385835,0.2215372707814527,0.8111929725020457,,,,,,,,,,2.1516457127620243,-1.3555475587628183,4.684345020468895,-1.8433590665896695,0.2260010946913979,-1.9615768293586824,,,,,,
11,11,11,11,0.55,-0.256,2.16,10.1,-1.19,0.982,0.25,1.97,-0.0989,0.743,90.0,550000000.0,0.29817017129999795,3.2575090680645986,9.742657160806294,-1.0835123573935994,1.0725737939879458,0.3492767564867477,2.2599318431269886,0.08638166064344012,0.7745774262741271,,,,,,,,,,2.259481396771628,-1.1878742512258975,4.714629391316066,-1.7306323902679368,0.3915215830681877,-1.6364156529575893,,,,,,
12,12,12,12,0.6,-1.47,2.06,9.67,-0.629,0.103,-0.389,2.33,0.248,1.08,90.0,600000000.0,-0.4061300212814582,2.769382461897481,9.705739712158154,-0.7423638896836449,0.3909864128584663,-0.16811239407118572,2.292088660214849,0.15455021385037826,0.9385710352510904,,,,,,,,,,2.0237549703623943,-1.0127648766316393,4.829371787680198,-1.5845756696913271,0.31347387700887885,-1.0147304174301892,,,,,,
