,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM/SPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.0519,-2.34,3.11,7.98,-1.49,-1.12,0.569,-4.55,-2.49,0.238,0.0,0.0,0.0,1.0,30.0,51900000.0,-2.082679011934629,2.5370197318291776,8.144270589179259,-1.3973211977617626,-0.6140568144394055,0.5496904775644913,-4.135199480182993,-2.508748082708503,0.6350290251702059,,,,,,,,,
1,1,0.102,-0.953,2.2,9.79,-1.32,0.853,0.0899,-3.43,-2.76,1.7,0.0,0.0,0.0,1.0,30.0,102000000.0,-1.5421515872277018,2.3011634820673303,9.010455108877226,-1.3406914080406809,0.3623682049068093,0.2325883197512767,-3.823971803114463,-2.623105612242852,1.2224740356623336,,,,,,,,,
2,2,0.152,-3.67,0.35,9.96,-1.2,1.86,1.28,-5.58,-4.03,1.4,0.0,0.0,0.0,1.0,30.0,152000000.0,-2.7363140900853127,0.8522941099926629,9.579681084223768,-1.2340075751838575,1.4129884499387595,0.9865003212979124,-4.750907509481294,-3.3834167606674272,1.3327224485297826,,,,,,,,,
3,3,0.202,-4.57,-0.182,11.7,0.8140000000000001,1.29,2.08,-6.12,-4.15,2.87,0.0,0.0,0.0,1.0,30.0,202000000.0,-3.793575262644324,0.08136402002254606,10.874927047554767,0.3220394578617045,1.326319673327281,1.77615020643711,-5.498966452963061,-3.810977537478538,2.302347413609308,,,,,,,,,
4,4,0.252,-2.56,3.67,8.79,0.00458,1.43,1.11,-3.8,-0.456,-0.0156,0.0,0.0,0.0,1.0,30.0,252000000.0,-3.0789467314861048,2.7568711261247727,9.597717553969641,0.08081075441351633,1.399410769124236,1.2949820054080778,-4.564243293586273,-1.928457903738893,0.8372619577770866,,,,,,,,,
5,5,0.302,-2.21,3.24,8.62,-0.404,0.597,1.19,-3.14,-0.7440000000000001,-0.29100000000000004,0.0,0.0,0.0,1.0,30.0,302000000.0,-2.57513242999229,3.1170734744859825,8.998523573392912,-0.2875860268510595,0.8337189635675794,1.2191508317154165,-3.779577249573165,-1.263077508263107,0.12392943749854225,,,,,,,,,
6,6,0.35200000000000004,-2.87,2.43,7.74,-0.738,-0.00244,1.18,-3.78,-1.26,-1.3,0.0,0.0,0.0,1.0,30.0,352000000.0,-2.7461214376347263,2.6048173954349707,8.22718901688009,-0.6298455695716317,0.2442332575082153,1.1908710943846499,-3.7798102070914714,-1.2613483012955833,-0.7763702925316057,,,,,,,,,
7,7,0.402,-2.51,2.38,6.66,-1.67,0.599,1.34,-3.62,-0.7809999999999999,-2.56,0.0,0.0,0.0,1.0,30.0,402000000.0,-2.6091947573252177,2.4372020792590856,7.266667984752612,-1.4202357733822673,0.4943411596077316,1.2985909530067097,-3.6917354721077658,-0.9914369965876804,-1.9041014843847688,,,,,,,,,
8,8,0.452,-1.28,1.18,9.22,-2.05,0.985,0.626,-2.14,-0.974,-0.309,0.0,0.0,0.0,1.0,30.0,452000000.0,-1.8383919906246933,1.4998794109428608,8.463855556065603,-1.8987795783631018,0.8402520153090387,0.8127603363238978,-2.836532690203056,-0.9816389247100759,-0.8955698248791981,,,,,,,,,
9,9,0.502,-2.64,0.481,10.5,-0.937,0.47,0.371,-1.48,-0.225,-0.484,0.0,0.0,0.0,1.0,30.0,502000000.0,-2.303246547124087,0.7402412123410158,9.711798551140486,-1.1679446315796085,0.5792270875463648,0.4936649104348661,-2.088909615983325,-0.5564737050856079,-0.6353473621571135,,,,,,,,,
10,10,0.552,-4.19,0.215,10.9,-0.747,-0.929,1.23,-4.55,-0.669,1.16,0.0,0.0,0.0,1.0,30.0,552000000.0,-3.3973797973954003,0.3486411036265698,10.440041211103503,-0.8480781442873753,-0.4840618462760531,1.0255396431104613,-3.4452860512209087,-0.6197037238854617,0.4997934525618384,,,,,,,,,
11,11,0.602,-3.04,0.426,9.46,-0.414,1.13,1.47,-3.64,-0.182,-0.31,0.0,0.0,0.0,1.0,30.0,602000000.0,-3.190134299340431,0.4063169892024292,9.839378735993703,-0.5182318119250697,0.6538397906774565,1.3465853815930466,-3.552598468423396,-0.3737522396859,-0.012213104082985038,,,,,,,,,
12,12,0.652,-0.163,-0.967,9.42,-0.471,0.247,1.42,-0.417,-1.2,-0.382,0.0,0.0,0.0,1.0,30.0,652000000.0,-1.4346912232977942,-0.6175765596761533,9.582343592089144,-0.4823413969346603,0.36702074892628256,1.3996147119294142,-1.8244815122560136,-0.8380317605893193,-0.2460175560607783,,,,,,,,,
13,13,0.7020000000000001,2.22,-3.17,8.13,0.105,2.04,0.233,2.21,-3.4,-1.67,0.0,0.0,0.0,1.0,30.0,702000000.0,0.6846737698508216,-2.520567623429072,8.692209327548017,-0.03603372373462898,1.5464586961136022,0.5569373993324682,0.3990353262444935,-2.27763549938172,-1.14635618143655,,,,,,,,,
14,14,0.752,-0.8640000000000001,-5.16,7.04,-0.863,1.56,-0.8590000000000001,0.41,-5.26,-2.68,0.0,0.0,0.0,1.0,30.0,752000000.0,-0.21340620335311997,-4.488429109941675,7.679578230800903,-0.6644270018307147,1.5560051746631427,-0.4658324392634787,0.4050782659595569,-3.953465508088682,-2.116030263460755,,,,,,,,,
