,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.0521,2.09,3.53,7.91,-0.0504,-0.0886,-0.132,-0.0514,-1.53,-0.221,0.0,0.0,0.0,1,60,52100000.0,1.70859639273689,3.0683123892076725,7.440501924539442,-0.1504839622774596,0.2008246150839345,-0.01878271721405076,0.02772297636503953,-1.3957715611316108,-0.26314611122655884,,,,,,,,,
1,1,0.102,1.62,3.84,7.7,-0.675,1.08,0.28800000000000003,0.0103,-0.903,-0.726,0.0,0.0,0.0,1,60,102000000.0,1.656482383734274,3.5985821541126777,7.552232103068173,-0.5507878935083903,0.8577875049059684,0.20679505721755395,0.01903112032214536,-1.1933340865943276,-0.5236529930442703,,,,,,,,,
2,2,0.152,1.34,2.37,8.27,-0.512,2.34,0.8440000000000001,0.426,-2.16,-0.375,0.0,0.0,0.0,1,60,152000000.0,1.4488967435969882,2.6959828848224743,7.924496839443663,-0.5202991835287387,2.0045087111836244,0.6917767279601581,0.2558708745990742,-1.6822345232277285,-0.4295096834499549,,,,,,,,,
3,3,0.202,1.05,1.38,9.96,-0.118,1.74,1.06,0.569,-3.15,1.28,0.0,0.0,0.0,1,60,202000000.0,1.1841298426408577,1.7248262528741662,9.02004578195259,-0.20365825231612208,1.7995144897390871,0.9725732878099116,0.4424936522558831,-2.4570863646524352,0.6689315944765177,,,,,,,,,
4,4,0.252,0.795,0.804,8.49,-0.115,0.456,0.376,0.617,-3.6,-0.269,0.0,0.0,0.0,1,60,252000000.0,0.9255020414714878,1.0450749405945847,8.732571254074193,-0.13387308990619354,0.758199433967782,0.5175942330073621,0.5468956505740153,-3.0660291234719854,0.06516243358766816,,,,,,,,,
5,5,0.302,-0.00239,1.53,10.8,-0.0883,2.28,-0.256,0.773,-2.85,2.05,0.0,0.0,0.0,1,60,302000000.0,0.30870394134839063,1.403052753489842,9.855645352360552,-0.09800125270956192,1.937703536193058,-0.07239415982704978,0.6822502556886629,-2.9506991784098817,1.3431464539433298,,,,,,,,,
6,6,0.35200000000000004,-2.06,2.48,9.43,0.218,0.332,-0.8140000000000001,-1.01,-1.93,0.7290000000000001,0.0,0.0,0.0,1,60,352000000.0,-1.2658721140503846,2.198070040892647,9.624348567332984,0.15073206804931574,0.6931683281113998,-0.6379865189305595,-0.3308947549192009,-2.405550037832572,0.9477022632143008,,,,,,,,,
7,7,0.402,-1.27,2.19,11.0,-0.37,0.32299999999999995,-0.28600000000000003,-0.726,-1.64,0.628,0.0,0.0,0.0,1,60,402000000.0,-1.2686160841407634,2.192112667335549,10.37193337884422,-0.25915054937505555,0.40626137967980863,-0.3695408456206909,-0.5674468183546898,-1.9966360955131333,0.7418476835606902,,,,,,,,,
8,8,0.452,-2.49,2.76,9.2,0.165,0.203,-0.633,-1.25,-1.71,0.5589999999999999,0.0,0.0,0.0,1,60,452000000.0,-2.0805225171070107,2.6113349461587965,9.735047934890131,0.07471008484795294,0.24871925184989055,-0.5704703511420078,-0.9760968545562504,-1.8435280544651125,0.6241129831963887,,,,,,,,,
9,9,0.502,-1.03,1.69,8.65,0.969,-0.425,-0.256,0.33,-2.91,0.0916,0.0,0.0,0.0,1,60,502000000.0,-1.3821949761536043,1.9311927838860945,9.145378371554736,0.778630398119928,-0.273461417663213,-0.3306367193315983,-0.19412591541767288,-2.4131917846797823,0.2812305130129347,,,,,,,,,
10,10,0.552,-0.615,-0.0431,7.88,-0.29600000000000004,1.54,-0.177,1.61,-4.36,-0.644,0.0,0.0,0.0,1,60,552000000.0,-0.87220746747099,0.4737425355919851,8.457708061720801,-0.06724091463016535,1.1321010001207452,-0.21346429461659436,0.8860191919188194,-3.453094508520857,-0.3145208293949412,,,,,,,,,
11,11,0.602,-0.333,-2.88,5.61,-1.13,2.05,-0.7759999999999999,3.46,-6.24,-2.79,0.0,0.0,0.0,1,60,602000000.0,-0.5137730631038279,-2.002036689924502,6.910119869748863,-0.9037679820080252,1.8435384120790768,-0.6424872262273895,2.427082818006548,-4.941741800871228,-1.908469587920782,,,,,,,,,
12,12,0.652,-4.34,-4.71,6.25,-2.63,4.13,-2.57,1.55,-6.47,-1.39,0.0,0.0,0.0,1,60,652000000.0,-3.0572308627276388,-4.001092700058281,6.5513774111548875,-2.2625330395978147,3.615709948149887,-2.112522124849106,1.901966049678809,-5.758072822655673,-1.5746295776914134,,,,,,,,,
13,13,0.7020000000000001,-9.97,-3.68,5.62,-1.3,4.14,-3.56,-2.67,-3.83,-0.93,0.0,0.0,0.0,1,60,702000000.0,-7.652446161568775,-3.764057675625049,6.045219847022494,-1.5048966237300838,4.0220721754129425,-3.216454098731311,-0.8353078973516979,-4.728177513022269,-1.1595557884041139,,,,,,,,,
14,14,0.752,-12.7,-1.52,3.6,-1.31,1.77,-2.43,-5.2,-0.53,-2.68,0.0,0.0,0.0,1,60,752000000.0,-11.007772281545208,-2.107463237366217,4.716363891989398,-1.3514880554730462,2.276554970325824,-2.616657859279356,-3.4484850576018182,-2.4856879418586377,-2.1385623324103205,,,,,,,,,
15,15,0.802,-12.4,-2.03,6.4,-2.72,-0.341,-0.696,-4.81,0.152,0.524,0.0,0.0,0.0,1,60,802000000.0,-11.933245703875926,-2.050278782666542,5.631336797589494,-2.428681681437687,0.2477624516310266,-1.1518508566499366,-4.26363528426532,-1.076746172551396,-0.4241516344127254,,,,,,,,,
16,16,0.852,-12.3,-2.22,5.64,-2.22,1.44,-0.602,-4.37,0.67,0.629,0.0,0.0,0.0,1,60,852000000.0,-12.177043193762545,-2.175569354628616,5.636044746553638,-2.2644225805354186,1.171831963347013,-0.7325021549918771,-4.327316651099856,-0.14370794913204155,0.2539674946710685,,,,,,,,,
17,17,0.902,-12.3,-3.74,5.83,-2.28,1.6,-0.303,-3.99,1.16,1.67,0.0,0.0,0.0,1,60,902000000.0,-12.25877800083357,-3.330453709021556,5.741449780996523,-2.276683975734616,1.5036928682026711,-0.4049384766736937,-4.125362386903897,0.5526778939237059,1.1657437872755791,,,,,,,,,
18,18,0.952,-12.5,-3.64,3.3,-1.42,1.91,0.425,-3.89,-0.267,0.0842,0.0,0.0,0.0,1,60,952000000.0,-12.419128644136885,-3.558965141242598,4.414642695661741,-1.6023642894844141,1.8186099621462988,0.228021574641654,-3.984449041329028,0.11484050169794613,0.4693430981865289,,,,,,,,,
19,19,1.0,-8.61,-3.16,1.4,-2.22,0.475,1.34,0.316,-0.123,-1.31,0.0,0.0,0.0,1,60,1000000000.0,-9.887036688696963,-3.2644436173903406,2.7763336577265543,-2.0885224630436268,0.7772160308155409,1.076081945351228,-1.4097346105010384,-0.01220387584493593,-0.6763670774110059,,,,,,,,,
20,20,1.05,-5.38,-1.72,6.0,-2.92,-0.659,1.78,3.74,1.06,3.7,0.0,0.0,0.0,1,60,1050000000.0,-6.891015527397772,-2.1243139917474707,4.528236684133682,-2.743001490415463,-0.33595421406289594,1.6129313576945816,1.6734541144158546,0.5605222318533043,2.1415540496186867,,,,,,,,,
21,21,1.1,-2.94,-2.86,2.87,0.723,1.81,-0.0616,6.35,-0.146,1.28,0.0,0.0,0.0,1,60,1100000000.0,-4.2646055211231655,-2.667407504303543,3.627067097248395,-0.01481585845924549,1.3273139135163357,0.3358349602506572,4.4733407718467495,0.18312782269906905,1.586803643694433,,,,,,,,,
22,22,1.15,-3.61,-5.13,1.87,0.211,0.31,-0.6729999999999999,5.5,-1.83,0.35700000000000004,0.0,0.0,0.0,1,60,1150000000.0,-3.8294609919915934,-4.4853274407153885,2.6721881395379845,0.16293004604809672,0.5388227900066022,-0.4335620771208688,5.088010146120402,-0.8922002695394154,0.7949391612554085,,,,,,,,,
23,23,1.2,-12.8,-5.55,-4.03,0.825,1.92,-2.31,-4.14,-0.91,-4.3,0.0,0.0,0.0,1,60,1200000000.0,-9.792564424791006,-5.271283595236156,-0.9701193470644088,0.6840636097272315,1.6093339904514936,-1.864644288705712,-0.4368757991825962,-0.9017081496532796,-2.4856670654440083,,,,,,,,,
24,24,1.25,-11.4,-3.3,2.23,-0.971,-3.15,0.984,-2.97,1.7,1.97,0.0,0.0,0.0,1,60,1250000000.0,-10.861095770502317,-3.816054736010961,0.7689870638203513,-0.6186827475644521,-2.079490707039601,0.3078999144378969,-1.9534782339169463,0.4880147587570916,0.3833149190312275,,,,,,,,,
25,25,1.3,-6.42,-4.34,-0.232,1.67,0.591,-1.38,1.81,0.964,-0.841,0.0,0.0,0.0,1,60,1300000000.0,-7.9089083497913375,-4.2028384916617485,0.2250001654835455,1.1828027123339682,-0.009669178953123136,-0.9793921296372304,0.2997472887559616,0.7422660141218465,-0.4050154096725652,,,,,,,,,
26,26,1.35,-4.04,-6.94,0.335,0.529,-1.55,-0.682,3.55,-0.94,-1.24,0.0,0.0,0.0,1,60,1350000000.0,-5.33707845437842,-6.22344902980994,0.2847796330685119,0.6681765014281303,-1.2035358200905668,-0.7525833335713318,2.2457004503864084,-0.15632961506706178,-0.9426578600076192,,,,,,,,,
27,27,1.4,-7.49,-14.1,0.879,-1.65,-3.87,-3.26,-0.963,-7.12,-1.32,0.0,0.0,0.0,1,60,1400000000.0,-6.768217899841894,-12.038028214937613,0.6077089820926491,-1.1565243229224778,-3.270236396749138,-2.6648871941897,0.32462494286358146,-3.876028892420527,-1.185626629723427,,,,,,,,,
28,28,1.45,-6.35,-10.2,1.48,-0.687,-1.15,-0.0854,0.259,-3.24,-0.6559999999999999,0.0,0.0,0.0,1,60,1450000000.0,-6.490210401336053,-10.681170215523382,1.081755966284213,-0.7869487233048276,-1.6269013562231034,-0.6976180903907765,0.2853347486015764,-3.5362890592374736,-0.8446026763816072,,,,,,,,,
29,29,1.5,-5.68,-8.06,1.35,0.664,-0.255,0.265,0.855,-1.13,-0.988,0.0,0.0,0.0,1,60,1500000000.0,-5.951628567837325,-8.74618640655568,1.227533328565311,0.3551331289564559,-0.5635795696677021,0.03653124140852182,0.6263980593324969,-2.250950818796392,-0.9369354875250216,,,,,,,,,
30,30,1.55,-5.4,-8.4,1.2,0.0565,-0.325,-0.0427,0.8340000000000001,-1.14,-1.06,0.0,0.0,0.0,1,60,1550000000.0,-5.584937384070362,-8.49062652991061,1.2125703538086343,0.12007073243556045,-0.3786633110037968,-0.02389517739818739,0.7506910537293605,-1.6575276883857488,-1.0161760810436935,,,,,,,,,
31,31,1.6,-5.37,-8.04,1.33,0.0541,0.0825,-0.0097,1.06,-1.02,-1.02,0.0,0.0,0.0,1,60,1600000000.0,-5.4420591794481155,-8.157967762651891,1.276387574914406,0.06814334374236572,-0.021228721915107215,-0.013069097927514137,0.93587684476515,-1.3169872462603385,-1.018638271248363,,,,,,,,,
32,32,1.65,-5.34,-5.46,1.01,-0.238,-0.0849,-0.205,0.971,1.66,-1.4,0.0,0.0,0.0,1,60,1650000000.0,-5.374216152408711,-6.166290660242495,1.1316191138372151,-0.17283055410503673,-0.07057852084473829,-0.1594469249140622,0.9569053778274432,0.2731939016566929,-1.2641951851423432,,,,,,,,,
33,33,1.7,-5.33,-5.89,1.13,-0.155,-0.0599,-1.01,0.589,1.58,-1.17,0.0,0.0,0.0,1,60,1700000000.0,-5.344823722442049,-5.962328973624058,1.1307392030511505,-0.15879563272892466,-0.062301903115461674,-0.8081288687146052,0.7366373761511644,0.9712346862525186,-1.2035433441011525,,,,,,,,,
