,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.045,-1.85,5.34,4.13,-0.907,-0.6409999999999999,0.949,-6.03,-2.56,0.0943,,,,,140,45000000.0,-0.5917588488258549,2.9237734834766145,3.3064088133247345,-0.7330151076363132,0.1231705296288062,0.7616589784645926,-3.378530181737973,-1.9041027079794672,0.4384892131705816,,,,,,,,,
1,1,0.095,1.0,3.34,4.73,-0.892,0.414,1.16,-3.74,-4.09,0.43,,,,,140,95000000.0,-0.2932673682419951,3.093519389023561,3.608767793612495,-0.8244795835278884,0.1718488595533308,0.9503825806026762,-3.4458981297029547,-2.905943744567544,0.4364868324094935,,,,,,,,,
2,2,0.145,0.472,4.43,7.17,0.256,2.2,0.968,-4.36,-2.67,2.43,,,,,140,145000000.0,-0.06890420324699001,3.791515174382632,4.752720154476147,-0.12742797032626085,0.6729920959502786,0.9604263894467656,-3.712634024603568,-2.772539623820641,1.1319574886227983,,,,,,,,,
3,3,0.195,-0.508,1.23,10.5,-0.669,2.55,0.505,-5.04,-5.65,5.17,,,,,140,195000000.0,-0.219207155392576,2.3902905004199746,6.867244006190548,-0.481460496589853,1.216805421529426,0.6929990964456467,-4.1652719227805255,-4.455085131261253,2.720886613413517,,,,,,,,,
4,4,0.245,-2.34,5.37,7.9,-1.09,0.465,0.314,-6.71,-1.21,2.08,,,,,140,245000000.0,-0.9888070946752248,4.035253048111004,7.265927032162,-0.8798948391341761,0.9832962124174848,0.4693537659464317,-5.08570364059949,-2.546848557431097,2.45846133436666,,,,,,,,,
5,5,0.295,-3.87,4.9,12.9,0.237,-1.74,0.14,-6.51,-0.7979999999999999,1.51,,,,,140,295000000.0,-2.058103161349673,4.513510683634753,9.478953152601141,-0.14848409465239298,0.11081126275019593,0.2748439877589349,-5.612727341514236,-1.5174774520146614,2.064856073364037,,,,,,,,,
6,6,0.345,-1.43,2.5,9.27,0.732,-1.66,0.507,-6.05,-3.88,3.44,,,,,140,345000000.0,-1.8229575649511969,3.3995125338455674,9.396359612988773,0.4281233159921741,-0.4644648293589077,0.4119696124616056,-5.775965471273263,-2.9082807167470994,2.6381218930117805,,,,,,,,,
7,7,0.395,3.99,-2.96,15.1,1.41,0.685,0.13,-1.07,-9.29,9.53,,,,,140,395000000.0,0.3606304075619329,-0.11921651292218804,11.656025875090613,1.0711319295270971,-0.08869887620075778,0.2454171849218488,-4.013123407746152,-6.665263847419761,5.515595868832832,,,,,,,,,
8,8,0.445,-5.27,4.12,11.6,1.54,1.6,0.542,-10.0,-2.68,6.39,,,,,140,445000000.0,-1.7572474720395734,2.226382987184625,11.6338112243488,1.378183001895948,0.4649035310446946,0.4206019391775838,-6.258804455746758,-4.319087648631463,5.880863849087915,,,,,,,,,
9,9,0.495,-4.2,7.95,7.79,0.173,0.34600000000000003,0.55,-9.01,1.01,2.8,,,,,140,495000000.0,-2.6765216210113683,5.393324756155969,10.10924087481525,0.5889358711796872,0.4258741100757813,0.4970345018067052,-7.291320187457626,-1.1817825628073,4.5936566993132,,,,,,,,,
