,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.251,0.113,7.75,5.91,-0.389,0.35100000000000003,-0.0978,2.19,1.61,0.7070000000000001,251000000.0,0.12239048163074907,7.37218952081234,5.9228919729672835,-0.4585568395886524,0.0773394293470534,-0.14754576551484372,1.2942413582521666,1.6340701394511203,0.04272852072234504,,,,,,,,,
1,1,0.271,-0.0575,7.2,6.33,-0.833,-0.894,-0.358,-0.7909999999999999,2.02,-1.96,271000000.0,0.018455761884253102,7.271245089723401,6.1477820149168325,-0.6942873744424427,-0.5241208253513224,-0.2819134954119901,0.22024629103641336,1.8596074603766648,-1.0198472453521403,,,,,,,,,
2,2,0.321,0.496,6.59,6.34,-0.965,-0.8340000000000001,-0.419,-0.14400000000000002,1.53,-1.57,321000000.0,0.31993755688650205,6.8370506224771574,6.264801531945626,-0.8734861546054496,-0.7271197332937924,-0.37372706888133705,0.009515224199263816,1.6501653959196392,-1.345174031527434,,,,,,,,,
3,3,0.371,0.982,6.27,6.94,0.14400000000000002,-1.01,-0.0715,-1.33,1.62,-0.115,371000000.0,0.7426346504463064,6.4718959381525485,6.681552371070827,-0.19623226480149825,-0.9136247042236012,-0.17029008771662524,-0.7801618160277979,1.6307965839670042,-0.6055409649616617,,,,,,,,,
4,4,0.421,0.0718,6.23,8.43,0.517,-1.04,-0.172,-1.55,1.16,0.491,421000000.0,0.3137125856551813,6.315924118207345,7.762897535976932,0.2787974761884125,-0.9970065756337496,-0.17144169485988658,-1.2354186379227274,1.3281034781108192,0.055466198480320084,,,,,,,,,
5,5,0.471,0.101,6.0,8.37,-0.319,-0.33,-0.416,-1.86,1.26,-0.425,471000000.0,0.17768147331328074,6.112186469741397,8.138474985166907,-0.1193771990098269,-0.5568806864598885,-0.336157866901078,-1.6049674258407904,1.2843097616015626,-0.23428302989777014,,,,,,,,,
6,6,0.521,0.373,6.34,7.44,-0.0325,-0.442,-0.569,-1.89,1.45,-0.254,521000000.0,0.3025920395419928,6.25910522921992,7.706352634293821,-0.06151050301061111,-0.4810756377940497,-0.4929838541466585,-1.7736284921030046,1.3908586270964838,-0.2461742892496221,,,,,,,,,
7,7,0.5710000000000001,0.0982,6.37,7.99,-0.0141,-0.282,-0.72,-1.56,1.04,-0.495,571000000.0,0.17187833916321618,6.330622213752883,7.881836412280227,-0.02993154466942764,-0.3497136481407193,-0.64588598317184,-1.6472171828055568,1.1652346876275326,-0.3962419718770173,,,,,,,,,
8,8,0.621,0.383,6.06,7.7,-0.317,-0.0147,-0.638,-1.32,1.03,-0.973,621000000.0,0.306895844589393,6.1560953633097055,7.769339586530084,-0.22114073208444046,-0.12865160937803044,-0.6405745468711556,-1.4535911644777426,1.0782703253478558,-0.7440873615144081,,,,,,,,,
9,9,0.6709999999999999,0.304,5.99,6.93,-0.528,0.486,-0.424,-1.25,0.909,-1.81,671000000.0,0.30504387413270256,6.048978747704883,7.250065308416487,-0.4255320886143933,0.2769322858617937,-0.4947051493091968,-1.33311898041823,0.9694189242908556,-1.386944260141491,,,,,,,,,
10,10,0.721,0.402,5.75,6.57,-0.102,0.665,-0.15,-1.0,0.448,-1.03,721000000.0,0.3670497203874653,5.856164529482733,6.829329442909759,-0.21003537571889375,0.5330025886671038,-0.2625359900047461,-1.1360005351827371,0.6341140073121789,-1.1716694696842456,,,,,,,,,
11,11,0.7709999999999999,0.187,5.27,7.42,-1.0,-0.305,0.236,-0.772,0.3670000000000001,-1.14,771000000.0,0.2519034762622654,5.4781414755995845,7.1947596163096526,-0.7362112477450332,-0.019961646243553118,0.07324281764454121,-0.9206083730317144,0.4623430305479246,-1.1525694538350992,,,,,,,,,
12,12,0.821,0.476,4.97,7.43,-0.8440000000000001,0.353,0.403,-0.403,0.606,-1.47,821000000.0,0.3952187514142609,5.150436103085563,7.340295667448887,-0.8080066540654169,0.2261407455937642,0.2953440790332087,-0.6143209333452899,0.5547234359507347,-1.344013337708622,,,,,,,,,
13,13,0.871,0.642,4.63,7.64,-0.416,0.884,-0.0276,-0.439,0.527,-1.47,871000000.0,0.5530414745205395,4.814802018286246,7.5257136504713085,-0.5469007359139693,0.6602356314111499,0.07783164351781804,-0.5105772554948538,0.5368955419995091,-1.4199965080236223,,,,,,,,,
