,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.0476,0.812,5.72,9.93,-0.42200000000000004,1.65,0.43700000000000006,3.41,1.5,1.47,0,1,0,0,47600000.0,-0.221183627,3.65207542,6.460828502999999,-0.25619210600000003,1.4030310480000001,0.57349529,1.71493247,0.813756235,0.551568551,,,,,,,,,
1,1,0.0976,-2.14,5.36,8.53,0.355,1.34,0.904,1.01,1.07,0.292,0,1,0,0,97600000.0,-0.5300541639999999,4.166878623000001,6.9810073379999995,0.20143102699999998,1.371895046,0.8148760340000001,1.5732463819999998,0.8882501770000001,0.46483879,,,,,,,,,
2,2,0.14800000000000002,-1.79,5.58,5.92,-0.11,0.966,1.51,1.54,0.965,-2.07,0,1,0,0,148000000.0,-0.8508893670000001,4.760492548999999,6.596888796,-0.041494754,1.138169148,1.3469399480000002,1.563061611,0.919635718,-0.6744120859999999,,,,,,,,,
3,3,0.198,-1.38,4.71,8.98,0.134,1.72,1.94,2.03,-0.106,1.15,0,1,0,0,198000000.0,-1.011361441,4.737396845,7.559886857,0.095660458,1.4814847309999999,1.802017397,1.7281616659999999,0.460626298,0.205506463,,,,,,,,,
4,4,0.248,-2.04,4.85,5.63,-0.33899999999999997,0.764,1.86,1.36,-0.268,-2.01,0,1,0,0,248000000.0,-1.346826034,4.790115579,6.75191331,-0.244072873,1.056419042,1.846515659,1.590935316,0.126133777,-0.8822261659999999,,,,,,,,,
5,5,0.298,-0.306,4.12,7.56,-1.45,1.53,2.25,2.98,-0.998,-0.14,0,1,0,0,298000000.0,-0.996755883,4.4743491539999996,7.0941756510000005,-1.186637247,1.337173564,2.156168514,2.119031138,-0.393696515,-0.516161879,,,,,,,,,
6,6,0.348,-2.96,4.48,10.1,-0.873,-0.0189,2.72,0.268,-0.48200000000000004,2.33,0,1,0,0,348000000.0,-1.66584355,4.477016688,8.372145966,-0.941495302,0.533159367,2.588879501,1.410033197,-0.434615914,0.889190296,,,,,,,,,
7,7,0.39799999999999996,-1.09,3.44,5.83,0.0272,0.701,3.33,-0.69,-0.7240000000000001,2.15,0,1,0,0,398000000.0,-1.46847714,3.987240728,7.289957522000001,-0.18435349399999998,0.632673658,3.157650398,0.603387856,-0.568795664,1.5119267809999999,,,,,,,,,
8,8,0.44799999999999995,-0.606,1.24,10.8,-1.3,3.35,2.86,1.55,-3.95,2.72,0,1,0,0,448000000.0,-1.172148642,2.6895572160000003,8.784796565,-1.056353776,2.243807081,2.929219311,0.96738004,-2.136841693,2.108661178,,,,,,,,,
9,9,0.498,-0.299,1.62,10.2,0.0431,0.0409,2.45,1.99,-3.54,2.19,0,1,0,0,498000000.0,-0.871839569,2.184322847,9.387578243,-0.197009855,0.937677935,2.5614437619999997,1.360757706,-2.7875938419999997,2.148839746,,,,,,,,,
10,10,0.5479999999999999,-0.235,1.24,11.5,0.493,1.83,2.61,1.7,-4.25,3.61,0,1,0,0,548000000.0,-0.652707613,1.738241531,10.28736866,0.342308658,1.466746101,2.5987080369999997,1.491276146,-3.465833468,2.87060548,,,,,,,,,
11,11,0.598,-0.0144,1.75,6.7,-0.0553,2.81,2.03,1.77,-4.16,-0.9179999999999999,0,1,0,0,598000000.0,-0.433028013,1.743796039,8.759298864,0.031533806,2.2631769530000003,2.162254544,1.5985171969999998,-3.787777598,0.9991548379999999,,,,,,,,,
12,12,0.648,-0.342,4.88,11.4,1.96,1.41,2.33,2.08,-1.28,4.21,0,1,0,0,648000000.0,-0.40169725700000003,3.2252887510000003,9.884132944,1.538842045,1.7573183769999998,2.29099029,1.783775285,-2.624705943,2.585210799,,,,,,,,,
13,13,0.698,0.28300000000000003,3.01,9.02,-0.0504,1.77,2.81,2.29,-3.93,2.39,0,1,0,0,698000000.0,-0.16602418300000002,3.1235897560000003,9.51604609,0.296674779,1.7648374480000002,2.689302868,1.9785548430000002,-3.2300830289999998,2.4887828830000003,,,,,,,,,
14,14,0.748,1.62,0.838,10.4,-0.218,2.74,2.26,3.44,-6.24,3.84,0,1,0,0,748000000.0,0.448735536,2.043913341,9.892576137,-0.105600103,2.343022693,2.359835516,2.540875409,-4.626040286,3.1562414239999996,,,,,,,,,
15,15,0.7979999999999999,5.83,-4.72,1.86,-2.8,3.77,0.866,8.01,-11.8,-4.6,0,1,0,0,798000000.0,2.301009711,-1.151252191,6.4710084960000005,-2.211569616,3.1890941539999997,1.213395419,4.645234155,-7.953222573,-0.675096866,,,,,,,,,
16,16,0.848,0.6629999999999999,-4.39,11.3,-4.73,3.54,-1.03,4.05,-10.1,4.03,0,1,0,0,848000000.0,1.7371920790000002,-2.681185351,8.527972839,-4.179999673,3.3971502960000004,-0.508292408,4.416205488999999,-8.948868109,1.649072515,,,,,,,,,
17,17,0.898,-4.63,-2.4,13.0,-2.25,3.08,-1.3,0.35,-6.34,5.51,0,1,0,0,898000000.0,-0.45445524,-2.548357885,10.43288409,-2.671492882,3.209108145,-1.115886258,2.851647963,-7.738911619,3.556248889,,,,,,,,,
18,18,0.948,-5.72,-0.728,7.06,-2.13,1.09,-0.992,0.3,-3.64,-0.114,0,1,0,0,948000000.0,-2.266906054,-1.6884496119999999,8.996165402,-2.2482567909999998,1.952664254,-1.020810066,1.869848035,-5.837893755,1.743261833,,,,,,,,,
19,19,0.998,-9.09,0.397,7.71,-3.26,0.0935,-0.627,-2.8,-1.33,0.387,0,1,0,0,998000000.0,-4.615480857,-0.703316202,8.448308512999999,-3.03904526,0.8503441070000001,-0.718581558,0.073026288,-3.747195664,1.073311312,,,,,,,,,
20,20,1.05,-9.17,-0.0694,12.7,-1.84,-0.0354,-0.0861,-2.87,-0.499,5.16,0,1,0,0,1050000000.0,-6.183190456,-0.403864216,10.25936519,-2.1018596780000003,0.325176106,-0.233185266,-1.059364636,-2.240727925,3.092006403,,,,,,,,,
21,21,1.1,-8.92,-0.73,4.92,-1.85,1.0,-0.136,-2.5,-0.619,-2.49,0,1,0,0,1100000000.0,-7.125226857,-0.55792561,7.985001375,-1.9050036869999998,0.725287056,-0.158600698,-1.61367925,-1.48859319,0.334671499,,,,,,,,,
22,22,1.15,-10.6,-3.14,7.11,-2.15,-0.0593,0.7,-3.91,-2.3,-0.00135,0,1,0,0,1150000000.0,-8.321277609,-1.7776567509999999,7.61228456,-2.0964952980000002,0.26009624800000003,0.500330116,-2.497236763,-1.864912305,0.168687489,,,,,,,,,
23,23,1.2,-7.24,-6.15,6.93,-2.11,-0.19699999999999998,0.946,-0.626,-4.94,-0.20600000000000002,0,1,0,0,1200000000.0,-7.949091286,-3.843082574,7.321657553,-2.107050624,-0.010921442,0.842358268,-1.777239241,-3.29109502,-0.016396299,,,,,,,,,
24,24,1.25,-13.1,-7.01,5.55,-2.1,0.541,0.41700000000000004,-6.37,-5.23,-1.35,0,1,0,0,1250000000.0,-9.72208418,-5.339084372,6.566999778,-2.1015397119999997,0.316319217,0.515918193,-3.544400045,-4.190332056,-0.6751544279999999,,,,,,,,,
25,25,1.3,-6.1,-7.12,5.26,-2.15,-0.142,1.01,0.82,-4.9,-1.33,0,1,0,0,1300000000.0,-8.475327623,-6.180360685,6.010268329,-2.139416826,0.04457641,0.895099955,-1.865105765,-4.5194661730000005,-0.998627484,,,,,,,,,
26,26,1.35,-6.68,-6.52,3.24,-1.43,0.18,0.266,0.264,-3.94,-3.18,0,1,0,0,1350000000.0,-7.857358372999999,-6.340800915,4.830240763,-1.584929593,0.124870639,0.412298869,-1.045887751,-4.2507178880000005,-2.076156658,,,,,,,,,
27,27,1.4,-8.28,-3.47,1.47,-1.67,0.315,0.667,-1.16,-0.513,-4.58,0,1,0,0,1400000000.0,-8.002835631,-4.9846799939999995,3.39890768,-1.651421429,0.23760055100000002,0.607768571,-1.089794815,-2.5172165840000003,-3.312976167,,,,,,,,,
28,28,1.45,-3.84,-3.17,0.8640000000000001,-1.31,0.154,1.05,3.5,-0.0758,-4.86,0,1,0,0,1450000000.0,-6.569947179,-4.12745391,2.319134687,-1.384563026,0.18803281,0.9471578690000001,0.676224825,-1.3849216999999998,-4.077157156,,,,,,,,,
29,29,1.5,-6.76,-3.89,0.7490000000000001,-1.13,0.8340000000000001,-0.00909,0.8079999999999999,-0.682,-4.6,0,1,0,0,1500000000.0,-6.635365283,-4.015284489,1.650317813,-1.185594049,0.571034278,0.213287985,0.7269280929999999,-1.058916432,-4.3354249639999995,,,,,,,,,
30,30,1.55,-8.43,-4.61,1.03,-1.46,0.11,0.37799999999999995,-0.722,-1.15,-3.95,0,1,0,0,1550000000.0,-7.253096074,-4.2962187510000005,1.386086313,-1.400072478,0.29768168300000003,0.339695776,0.16942267600000002,-1.101159707,-4.145037226,,,,,,,,,
31,31,1.6,-13.5,-1.94,1.31,1.28,1.39,-0.316,-5.59,1.63,-3.3,0,1,0,0,1600000000.0,-9.403341028,-3.183178317,1.353676451,0.694698597,0.945329932,-0.163516215,-2.0466358280000003,0.165513986,-3.727615497,,,,,,,,,
32,32,1.65,-11.9,-4.0,2.67,0.917,1.01,0.49200000000000005,-3.7,-0.6940000000000001,-1.58,0,1,0,0,1650000000.0,-10.26271514,-3.569031957,1.914379598,0.868451564,0.983673563,0.33955797200000004,-2.682802324,-0.23311658899999999,-2.666761278,,,,,,,,,
33,33,1.7,-8.89,-5.33,2.26,0.491,0.26899999999999996,-0.258,-0.5,-2.36,-1.87,0,1,0,0,1700000000.0,-9.790213388,-4.400885365,2.0616005680000002,0.5734316939999999,0.559935277,-0.119036294,-1.842923434,-1.2195353359999999,-2.273186368,,,,,,,,,
34,34,1.75,-9.72,-5.42,3.08,0.16399999999999998,-0.368,0.249,-1.39,-2.49,-1.19,0,1,0,0,1750000000.0,-9.76604535,-4.882299032,2.495399455,0.253415845,0.009751639,0.16341218,-1.668651655,-1.8087590930000002,-1.738126535,,,,,,,,,
35,35,1.8,-11.2,-5.56,-0.373,0.47100000000000003,-0.654,0.65,-2.84,-2.84,-4.8,0,1,0,0,1800000000.0,-10.25962639,-5.20243422,1.273571808,0.423481757,-0.383794432,0.53684269,-2.11935242,-2.2870341709999997,-3.2505954360000002,,,,,,,,,
36,36,1.85,-7.32,-3.73,4.61,0.20800000000000002,-1.79,0.621,0.8340000000000001,-1.44,-0.337,0,1,0,0,1850000000.0,-9.247778519,-4.5068795989999995,2.694761722,0.255059093,-1.217550076,0.601428988,-0.9829882529999999,-1.894191589,-1.8113712990000002,,,,,,,,,
