,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.0442,2.54,4.86,6.28,-0.8959999999999999,-0.0751,-1.26,10.9,2.62,1.72,60.0,44200000.0,1.8260358459676131,3.7746350063485865,6.369765387615157,-0.8920833738537501,-0.07261706497888662,-1.2434635548015354,9.279728255834202,2.496304750710669,2.3081623697413867,,,,,,,,,
1,1,0.0942,1.64,4.2,8.67,-1.02,0.255,-1.35,10.3,2.84,4.28,60.0,94200000.0,1.7662579421522917,3.8749923781683284,7.205409174524983,-0.9800464309370484,0.12512819928299052,-1.3122350612277207,9.654289489601148,2.5770452575775544,3.025661153198532,,,,,,,,,
2,2,0.14400000000000002,0.8809999999999999,4.22,8.18,-0.84,-0.986,-1.11,9.5,3.57,3.54,60.0,144000000.0,1.3947905839437913,3.9896059972650217,7.6553417694173245,-0.8785987838159891,-0.6021576798533048,-1.1741512575028483,9.58234747963452,2.9055648717058777,3.263912119503216,,,,,,,,,
3,3,0.194,1.59,4.36,8.98,-0.997,-0.262,-1.25,10.0,4.43,3.97,60.0,194000000.0,1.4828177030316798,4.127594820503614,8.302753931801162,-0.9646939244548144,-0.3774755231754781,-1.226221031564084,9.788294530939098,3.4714564161243664,3.6101730319325287,,,,,,,,,
4,4,0.244,0.905,4.52,9.1,-0.3720000000000001,-0.807,-1.11,9.19,5.27,3.9,60.0,244000000.0,1.2168945601446923,4.279861963444592,8.697964902327017,-0.5335962105838279,-0.6614817663800785,-1.1463936111072472,9.48920290538578,4.167092629503353,3.754319838016935,,,,,,,,,
5,5,0.294,1.71,4.38,6.69,-1.56,0.7609999999999999,-0.727,9.85,5.66,1.36,60.0,294000000.0,1.4451585113172842,4.319294557035793,7.6990246399786075,-1.280169748374532,0.27919082922126914,-0.8583144849986268,9.670179508522928,4.753170284301669,2.5592977284010745,,,,,,,,,
6,6,0.344,0.785,3.03,5.98,-2.11,4.12,-0.921,9.35,5.13,1.68,60.0,344000000.0,1.139052126921371,3.808880373017766,6.843061739009183,-1.883762833478452,2.8191132399654597,-0.9013730363475084,9.509442442794029,4.901907355370946,2.120047630131483,,,,,,,,,
7,7,0.394,-0.101,0.943,8.53,-0.7659999999999999,4.25,-0.977,9.03,3.76,6.33,60.0,394000000.0,0.5637806725862644,2.6721190365816665,7.6832373132170275,-1.0707361985617831,3.765358419164015,-0.9533210636188256,9.268701499576704,4.450298837536036,4.223577543217871,,,,,,,,,
8,8,0.444,-1.06,0.448,12.2,-0.363,-2.55,-0.519,8.05,3.61,10.4,60.0,444000000.0,-0.18960991201095434,1.7892937943055167,9.932928438946265,-0.5559504594029478,-0.4109877857949629,-0.6549866685470678,8.656727635168837,4.117732882944234,7.309836898329119,,,,,,,,,
9,9,0.494,-0.675,-0.754,9.03,-1.24,0.5489999999999999,-0.434,8.23,2.66,6.73,60.0,494000000.0,-0.4148268109307259,0.7795195749353487,9.48319484933002,-1.053507256634137,0.2238521229727424,-0.5031912956846465,8.442442337870322,3.540652924716435,7.0200976839791815,,,,,,,,,
10,10,0.544,-0.958,-1.92,11.2,0.463,0.779,-0.622,7.96,1.79,9.54,60.0,544000000.0,-0.6668574479134439,-0.2923811787734121,10.338309588674711,0.049553907926005225,0.5909713869489702,-0.5848007761398246,8.200178891260615,2.8475467608659657,8.279274278995143,,,,,,,,,
11,11,0.594,-1.67,-1.56,10.3,-0.433,0.447,-0.6459999999999999,7.16,2.46,8.89,60.0,594000000.0,-1.1323139105677242,-0.7957327525054609,10.31922823616534,-0.3014410982895458,0.4957631110139753,-0.626838436861087,7.677841695888348,2.6941066310122967,8.584449855673377,,,,,,,,,
12,12,0.644,-2.57,-1.3,9.74,0.618,0.0373,-1.03,6.04,3.13,8.24,60.0,644000000.0,-1.799398471084522,-0.9959718245886441,10.030722917577114,0.3673323166907837,0.19258147060680536,-0.9037694022638856,6.855381534758557,2.866690741352057,8.412330501232745,,,,,,,,,
13,13,0.6940000000000001,-2.37,-1.61,9.07,0.738,1.29,-0.499,6.16,3.07,7.79,60.0,694000000.0,-2.064156902792297,-1.2397968913904975,9.552200551739336,0.6369446762310003,0.9183042860858726,-0.6257340041196465,6.506187989208825,2.947187699331949,8.101356164775645,,,,,,,,,
14,14,0.7440000000000001,-1.08,-2.89,4.98,-2.4,2.01,-1.69,7.32,2.12,4.35,60.0,744000000.0,-1.6075091616682209,-1.895078795800182,7.274853449082191,-1.5720364037312982,1.6402426227798248,-1.356776527497602,6.914852712430892,2.6196756216740638,6.226828938798278,,,,,,,,,
15,15,0.794,-2.21,-6.12,4.02,-4.22,2.99,-3.11,5.51,-0.218,5.34,60.0,794000000.0,-1.8870642967734879,-3.5727606398289096,5.653657902326487,-3.498084277840368,2.5328371423226628,-2.5610626465182564,6.209390610198518,1.4961416458503989,5.7836866204228645,,,,,,,,,
16,16,0.8440000000000001,-6.39,-7.31,7.57,-2.84,2.69,-2.8,0.0468,-0.802,11.1,60.0,844000000.0,-3.976421694156605,-5.056788326057308,6.608160335805604,-3.0194137659616582,2.6367689732498567,-2.7251882713568936,3.1147780568808963,0.5862276394271824,8.440212484168578,,,,,,,,,
17,17,0.894,-10.8,-5.44,7.45,-1.34,2.72,-2.05,-5.82,1.42,12.4,60.0,894000000.0,-7.142554989642647,-5.208958635995997,7.0274684307429425,-1.797859394805852,2.6918096676734207,-2.2614025750372027,-1.3719189534194365,0.916347055076976,10.418891210144306,,,,,,,,,
18,18,0.944,-13.0,-3.51,6.86,-1.66,1.98,-1.01,-9.28,3.27,12.9,60.0,944000000.0,-9.860403358043264,-4.534315742884775,6.944054888266917,-1.6975846478292729,2.221089968317227,-1.4018162897063675,-5.343048564569809,1.8482400137154367,11.65868422380725,,,,,,,,,
19,19,0.994,-13.3,-1.63,7.6,-1.32,1.59,-0.285,-10.3,4.76,14.4,60.0,994000000.0,-11.456372696991751,-3.381035170794589,7.270771636396821,-1.422941119545937,1.803750213194024,-0.6346770966331605,-7.832236261643317,3.0011070493714627,13.028500900572482,,,,,,,,,
20,20,1.04,-11.3,-1.42,8.14,0.0302,1.83,-0.0751,-8.99,4.73,15.4,60.0,1040000000.0,-11.383816017360168,-2.6023237571173268,7.703721913361423,-0.365970551133022,1.8211092248046068,-0.25030454844760397,-8.413619922662212,3.6856358476429087,14.213522696696383,,,,,,,,,
21,21,1.09,-10.5,-3.41,5.85,0.361,1.82,-0.0555,-8.95,2.84,13.2,60.0,1090000000.0,-10.973726308109603,-2.9230455739335373,6.780409727856632,0.16280567533005275,1.8203757291610183,-0.11649363930055814,-8.682968973326084,3.3508191988928617,13.707072196266957,,,,,,,,,
22,22,1.14,-9.67,-5.47,4.41,0.315,1.14,0.517,-8.65,0.877,11.8,60.0,1140000000.0,-10.368798697783587,-3.934420743602312,5.599742768652379,0.2735071874388761,1.3704432703308242,0.3186520665696789,-8.666413049740852,2.371348211362561,12.754121272775956,,,,,,,,,
23,23,1.19,-8.2,-6.45,2.72,0.267,0.913,0.601,-7.37,-0.004529999999999999,10.1,60.0,1190000000.0,-9.362478277979342,-4.933337091829837,4.165384461160562,0.2687740501368264,1.0679360411270022,0.5125963844792828,-8.015404941938558,1.4306554738973694,11.427875096915658,,,,,,,,,
24,24,1.24,-7.76,-6.21,1.34,-0.722,0.0959,0.816,-6.97,0.166,8.75,60.0,1240000000.0,-8.618930136363973,-5.440289747678802,2.758101244678586,-0.4518848034773896,0.4251286355984569,0.7210037962267544,-7.490443264188956,0.9299344268285488,10.089759105911165,,,,,,,,,
25,25,1.29,-6.51,-6.21,2.0,-0.0877,-0.172,0.5820000000000001,-6.66,-0.0822,8.92,60.0,1290000000.0,-7.640388861250299,-5.7459355542889465,2.380501953219405,-0.18698787685960394,0.030247482851604945,0.6255223392099911,-7.073426982397349,0.5291952397406385,9.505238466783684,,,,,,,,,
26,26,1.34,-7.15,-5.9,1.22,-0.206,0.0819,0.0587,-5.87,0.2,8.78,60.0,1340000000.0,-7.412848985901209,-5.807113352626189,1.8024726892584568,-0.20081671603589424,0.06440529127729053,0.2361730475705105,-6.4691128494988535,0.3988554070942849,9.142841599159759,,,,,,,,,
27,27,1.39,-8.11,-5.66,1.42,0.166,0.487,0.14300000000000002,-6.9,0.438,9.0,60.0,1390000000.0,-7.736326169238247,-5.748695755094028,1.6119685399973442,0.0659945803559619,0.3438671519640312,0.17217264585885955,-6.685487612081657,0.4143541090181975,9.071464622602306,,,,,,,,,
28,28,1.44,-8.39,-5.35,0.488,0.11,1.13,0.126,-7.33,0.84,8.02,60.0,1440000000.0,-8.039630303504723,-5.590376818323852,1.0521360305088094,0.09800278116419167,0.8637367777337925,0.1404567361388676,-7.009136547497016,0.5828820966194214,8.546055123645724,,,,,,,,,
29,29,1.49,-9.79,-3.99,1.45,0.14400000000000002,1.5,0.667,-9.08,2.21,9.01,60.0,1490000000.0,-8.851799997397219,-4.954879974035982,1.2503063567507129,0.1314597519317213,1.2844976276121909,0.5021383964924113,-8.049043334399954,1.2271146264783883,8.777885340439537,,,,,,,,,
30,30,1.54,-4.89,-4.04,0.407,0.341,1.4,0.513,-4.38,2.25,7.91,60.0,1540000000.0,-7.013528873215368,-4.59158843078684,0.8302676309911838,0.2838729361497501,1.3608793272553803,0.509599221141569,-6.206592987501517,1.6321104876395167,8.344208856454742,,,,,,,,,
31,31,1.59,-6.81,-3.09,1.07,0.192,0.616,0.481,-6.82,3.29,8.51,60.0,1590000000.0,-6.919091662000043,-3.9953196280335987,0.9496748910621132,0.21704736331526905,0.8682906481848598,0.4899544695332516,-6.514622141559273,2.2885265364949907,8.427053678780771,,,,,,,,,
32,32,1.64,-5.21,-2.97,1.12,0.438,0.091,-0.481,-5.34,3.5,8.49,60.0,1640000000.0,-6.126074933014466,-3.5881734070670337,1.0345113726068116,0.3777615733163901,0.3542683645372685,-0.17699249166716002,-5.924772809918253,2.7681909752745923,8.458507413432146,,,,,,,,,
