,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,RPM,COUNT,Time(m),Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.071292925,4.070191383,5.254339218,9.448060036000001,0.118672195,1.707012296,-1.196644306,1.417998314,0.060559435,-0.1352263093,2.093144417,0.3962107897,0,0,0,1,32,6313.0,5.25916666625,3.2891466441674635,3.846170221696793,9.449331281019253,-0.15302867222843358,1.699764406044085,0.4248293608557584,1.2808185733521031,-0.5188487048921704,1.409585106860268,,,,,,,,,
1,1,0.121292925,2.705684185,0.9352945685,10.56132126,0.168672195,2.042890549,1.398377776,4.637248993,0.11209282,-0.5007420182,-0.03474193811,0.8402203918000001,0,0,0,1,32,,,3.024245729363188,2.092146964015761,9.880750803724236,-0.3980490646959781,0.5497968994503375,0.7043322646049637,1.5910939674805795,0.17862902327468475,2.732373906409089,,,,,,,,,
2,2,0.171292925,2.899502754,3.042174816,13.84606838,0.218672195,-3.2956852910000003,-1.765621305,-3.2927341460000004,0.163626154,0.01801999472,1.488634825,-0.1181225851,0,0,0,1,32,,,2.957240496989719,2.724244011700613,11.770429988159734,-0.0934358077957248,1.201522553753772,0.12683706612960075,-0.8188312701094003,-0.7026398397773278,-0.2649298524801038,,,,,,,,,
3,3,0.221292925,-0.8018946648,1.160219908,10.11386299,0.268672195,3.482655525,1.291357994,-2.176251411,0.215159539,1.72465086,-0.6307761668999999,0.3622324169,0,0,0,1,32,,,0.8735672547188291,1.67285852160381,10.942565082682986,1.2411815461037747,-0.07572290777804236,0.29272875284622635,1.3935240267512847,0.252020580487475,-1.2562706378129072,,,,,,,,,
4,4,0.271292925,3.68225503,4.100101471,8.117053032000001,0.318672195,-1.495754719,0.2142775059,-0.4967098236,0.266692925,-0.29992601280000003,0.7647044062999999,0.1951656938,0,0,0,1,32,,,2.4399074484892305,3.3063178547686816,9.514309786270418,0.1096753899447307,0.5103386887883785,0.22395061314282488,-0.1067816409803235,0.23369241103843336,-0.8586181678919127,,,,,,,,,
5,5,0.321292925,-0.04277170449,2.764308453,8.76102066,0.368672195,3.620431423,-0.3711345196,0.7161149979000001,0.31822631,-0.5353312492,0.3481829464,-0.50532341,0,0,0,1,32,,,1.0537349227315362,2.9415195418188307,9.132479024310037,-0.3639052413176482,0.39725745199290974,-0.29017328719824914,1.83288303033226,-0.061103940757646615,-0.03246487709148405,,,,,,,,,
6,6,0.371292925,3.531507015,2.003091574,10.59990501,0.418672195,-0.6329357624,-1.855881691,-1.243600845,0.369759695,0.7172874212,1.224290609,-1.342107773,0,0,0,1,32,,,2.4374867966780553,2.3099046127224883,9.876793810308886,0.4299352459048485,0.9740007051075108,-1.0317682812828926,0.5490096948614338,-0.93673891124471,-0.6681651553786156,,,,,,,,,
7,7,0.421292925,-0.5288137794,1.562513232,8.698807716000001,0.468672195,1.464375973,-0.3433811665,0.6901111603,0.421293029,0.9312366247,1.194435477,-0.614741385,0,0,0,1,32,,,0.7808338143241866,1.806867403423492,9.27919286015164,0.7980041118878108,1.127724051704612,-0.7377717179679035,1.025666864690328,-0.6471783092220228,0.044842305074000784,,,,,,,,,
8,8,0.471292925,-0.1217348501,3.16181612,10.79611683,0.518672195,-0.7426963448999999,-0.977083683,-2.388862133,0.472826466,1.617523551,0.05322006717,-0.6554391384,0,0,0,1,32,,,0.2767526751488097,2.718825631198027,10.048769866323108,1.3997171826330157,0.3784032833010789,-0.6797287090034614,0.10480556452123113,-0.8081839858080968,-1.2327263901767171,,,,,,,,,
9,9,0.521292925,-0.08823533356,3.492025614,6.386144637999999,0.568672195,1.958187103,-2.153039455,-14.11609364,0.524359852,0.9723161459,-0.9420791864,-0.1754658818,0,0,0,1,32,,,0.07290792321482402,3.2392335904992664,8.190602127885901,1.0859079206807614,-0.542454112815136,-0.3242323550332035,1.0699453793203821,-1.4645332425627318,-7.995863305484943,,,,,,,,,
10,10,0.571292925,2.100000858,0.6358926296,-2.065006018,0.618672195,0.3191871643,-2.985076904,-1.616835594,0.5758932370000001,-2.694599867,-1.48810029,0.1988307834,0,0,0,1,32,,,1.2050338677114831,1.4870357250791548,2.9875897118989574,-1.6898419176973545,-1.2019140426473678,0.04451788512143368,0.6789909836559107,-2.2066295448203608,-4.647182017285209,,,,,,,,,
11,11,0.621292925,1.307378531,-1.063908815,6.776473522000001,0.668672195,-2.775624752,-1.638855934,3.60370636,0.627426623,-4.542794703999999,0.199212566,-0.6656708121,0,0,0,1,32,,,1.2621930899360052,-0.2298963428134859,4.909818053890254,-3.78455608884402,-0.22481829895746666,-0.4561525568267641,-1.1199871888901225,-1.9295291805515733,-0.31586313397300003,,,,,,,,,
12,12,0.671292925,-2.798406124,-2.021337032,12.71127224,0.718672195,-7.365997313999999,-1.267754078,1.280456543,0.67896006,-4.054956913,2.045727491,-2.1410195830000003,0,0,0,1,32,,,-1.0056408102203385,-1.4356387330566558,8.8677590073024,-3.983091599445588,1.3585793853587531,-1.6439539422301128,-4.3725737488024095,-1.6065515425896548,0.5221278407291905,,,,,,,,,
13,13,0.721292925,-9.231510162000001,-3.141776085,10.03011417,0.768672195,-5.097261429,1.192754984,1.858801842,0.730493445,-2.651840687,2.380624533,-1.646996975,0,0,0,1,32,,,-5.599767055548374,-2.583967081715292,9.457461024356778,-3.0056516063843874,2.0713172329961367,-1.6460992263498937,-4.74995217131819,-0.24035707445368226,1.2238173462616762,,,,,,,,,
14,14,0.771292925,-7.067201614,-2.119741678,9.977172852,0.818672195,-2.100942135,1.312024117,-0.4865460396,0.7820268309999999,-1.994798064,3.225197077,-1.095096469,0,0,0,1,32,,,-6.419325370259714,-2.2715167444638653,9.721128381869665,-2.263455924232713,2.875991897753279,-1.257652050067931,-3.370490010953477,0.5172786547121915,0.3259588995387344,,,,,,,,,
15,15,0.821292925,-6.01376152,-2.857030153,6.967899322999999,0.868672195,-4.024671555,-1.226785183,-0.1978564262,0.8335602679999999,-2.249292374,4.420320034,-1.582857966,0,0,0,1,32,,,-6.192819034190888,-2.665600869713694,8.324322317179558,-2.253056666929149,3.952951281355353,-1.4869164561279256,-3.711152625971416,-0.33390731206522817,0.050981067924890655,,,,,,,,,
16,16,0.871292925,-9.399007797000001,-6.445665836,5.485845089,0.918672195,-3.093120098,1.7119817730000002,-0.6550755501,0.8850937059999999,-1.957230926,2.852504015,-0.8580876589,0,0,0,1,32,,,-7.98346696719209,-5.2098015205306805,6.884266977333693,-2.0358535027141142,3.1855385911004888,-1.0436033014048935,-3.389314476905212,0.6645837087833522,-0.319664669785549,,,,,,,,,
17,17,0.921292925,-8.642576218,-4.034897327,4.624129772,0.968672195,0.01716423035,1.527278423,6.233269691,0.936627091,-2.137430906,1.4152567390000002,-0.09147437662,0,0,0,1,32,,,-8.351577738012153,-4.419023573816095,5.737623058871541,-2.1104343467223883,1.951007141583934,-0.3723692879521585,-1.6154033110513017,1.085619693897265,3.1203104379459043,,,,,,,,,
18,18,0.971292925,-6.655336857000001,-5.054837704,9.699605942,1.018672195,-4.7086100580000005,0.5167675018,0.594653368,0.988160529,-0.6516976953,1.737249613,-0.4829511046,0,0,0,1,32,,,-7.404231698141872,-4.846962970981474,7.747670753104565,-1.0393909176121303,1.8019402619335785,-0.4503275084185727,-3.2261792641741467,0.8079928126118925,1.7944620511930043,,,,,,,,,
19,19,1.021292925,-11.46281719,-5.897410393,3.982554197,1.068672195,-3.105570793,0.2694444656,2.680698633,1.039693914,-0.3704025149,0.7676823139,0.2782409191,0,0,0,1,32,,,-9.670940947893733,-5.5539743683359495,5.837499993860681,-0.5482017560056316,1.0806856425190938,0.06330031755780208,-3.163372849740849,0.545155646681508,2.2596935968806307,,,,,,,,,
20,20,1.071292925,-9.650253296,-6.215955257,5.935994625,1.118672195,-2.532380104,0.6610417366,-0.4057433605,1.091227352,-0.2153236568,0.6945333481,0.5030327439,0,0,0,1,32,,,-9.659386949042789,-5.99952549608046,5.887469645990187,-0.3037937605712904,0.8113967995434638,0.3733038829531071,-2.8347857152432807,0.601713561336674,0.860467497654547,,,,,,,,,
21,21,1.121292925,-10.14586735,-5.500202179,2.143670082,1.168672195,-2.291531086,-1.000965595,0.3277161121,1.142760789,-0.7639408708,0.2971771955,0.7830298543,0,0,0,1,32,,,-9.931084963325382,-5.6634522487642265,3.988113716506631,-0.6416460646852848,0.4527983807578224,0.6621534294819182,-2.5518878797936697,-0.18046996922617187,0.5807986647655372,,,,,,,,,
22,22,1.171292925,-9.899406433,-7.084848881,3.173182011,1.218672195,0.2261314392,0.06574678421,1.164108753,1.194294227,-1.007058024,-0.2292967886,1.148545504,0,0,0,1,32,,,-9.913392588093837,-6.620133752427825,3.5746713456681856,-0.909941289861138,-0.022870472166911848,1.0050512194069674,-1.105244611918507,-0.06030450211084416,0.8870083829956333,,,,,,,,,
