,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.031360282,3.141177893,4.686941147,11.73709393,0.154233876,0.17824363710000002,-0.2588305473,-1.467961311,0.14130372,0.3967452943,0.4173613787,0.1020878479,0,0,0,1,,COUNT,TIME,2.1154370122201898,3.9739340708851163,9.694242901036429,0.34003160540386035,0.4534470926888066,0.11549969433641052,0.009809712018233043,-0.1713540497917992,-1.301710236937916,,,,,,,,,
1,1,0.050985282,0.9915258884,4.358825684,10.15693378,0.193499709,-0.7435727715,0.05869579315,-1.653717995,0.19130372,0.1791309565,0.3729985952000001,0.1915006191,0,0,0,1,ACC,3401,2.8319937503,1.6555966993773468,4.220845547866763,9.849631832852024,0.2151693614782868,0.3984113141924797,0.17056954786428202,-0.4802651451215889,-0.019809727701013108,-1.5346255822499977,,,,,,,,,
2,2,0.100985282,1.350449324,3.568894863,8.466703415,0.243499709,0.0,0.0,0.0,0.24130372,0.07811209559,1.062568784,0.1843231618,0,0,0,1,LA,3398,2.8306544304,1.5015780333096278,3.7645271965916223,9.252061134141565,0.10595495408093213,0.8740590288140859,0.18089578008064092,-0.1427180569172259,-0.005739790413418348,-0.4424829565902748,,,,,,,,,
3,3,0.150985282,1.202094316,5.100899696,8.143373489,0.293499709,1.278730869,-0.4985482693,-0.7150907516,0.29130372,-0.4296546876,1.325233102,0.2368560284,0,0,0,1,GYR,3398,2.83083335466667,1.3437132740509348,4.706799835910048,8.740354384339263,-0.321305381910907,1.1983296523140905,0.2230012924949461,0.8627945619655402,-0.3578586572006628,-0.6376058294814584,,,,,,,,,
4,4,0.200985282,1.041775107,4.040280819,7.305586815,0.343499709,-0.5126196742,0.01370573044,-0.872382164,0.34130372,-0.2544178963,1.924550653,-0.182490617,0,0,0,1,,,,1.1830589999065366,4.236539875844142,8.066093165443018,-0.2679463267430194,1.7204306343963942,-0.08213839458070615,-0.11068900103909464,-0.09224159680366324,-0.8057279198294733,,,,,,,,,
5,5,0.250985282,2.013560295,3.698107481,8.322834969,0.393499709,-0.5126196742,0.01370573044,-0.872382164,0.39130372,0.4098021686,1.177178979,-0.4087331593,0,0,0,1,,,,1.6258481202518096,3.856629991716668,8.18735094782469,0.2727240835973897,1.329862848290347,-0.32790859496068553,-0.3951787656389196,-0.016500948543288194,-0.8534604472565372,,,,,,,,,
6,6,0.300985282,-0.471386075,4.349254131,9.093922615,0.443499709,-0.5126196742,0.01370573044,-0.872382164,0.44130372,0.9759812355,-0.3496336937,-0.332377255,0,0,0,1,,,,0.5071947785431001,4.204219914449891,8.616112464466486,0.8337439360077716,0.1223959378028574,-0.3312713678068948,-0.4783047188603562,0.005093563016974618,-0.8670107332561882,,,,,,,,,
7,7,0.350985282,3.553042412,3.559024572,10.07557774,0.493499709,-0.2986725569,-1.084598541,-0.6588668823,0.49130372,0.8689302206,-1.997394204,-0.7138513923,0,0,0,1,,,,2.131989679922059,3.7489773187193567,9.306628963223769,0.8618136174846286,-1.4016183990107045,-0.6191719366641301,-0.35115907612401986,-0.7739187504451973,-0.7179539944457916,,,,,,,,,
8,8,0.4009852820000001,1.752742529,2.48195529,10.72672462,0.543499709,0.6098927259,-0.9157481194,0.08327102661,0.54130372,-0.05558710173,-0.7542436719,-0.729809761,0,0,0,1,,,,1.9296776098819253,2.8549807561671465,9.978590070174821,0.1299618100648008,-0.9361910169762576,-0.7024295314139656,0.32908410136347355,-0.8753114527485683,-0.1441777791849509,,,,,,,,,
9,9,0.450985282,1.752742529,2.48195529,10.72672462,0.5934997089999999,0.6098927259,-0.9157481194,0.08327102661,0.59130372,-2.045192957,-0.3454341292,-1.485046029,0,0,0,1,,,,1.8352899116836423,2.5917781613601347,10.332602966412086,-1.6052569599985975,-0.5114687959816553,-1.2913670632097056,0.5278435762597787,-0.9042193082786844,0.01870369821572337,,,,,,,,,
