,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Still,Walk,Run,Cycle,RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.0519,-2.34,3.11,7.98,-1.49,-1.12,0.569,-4.55,-2.49,0.238,0,0,0,1,30,51900000,-2.082679012,2.537019732,8.144270589,-1.397321198,-0.614056814,0.549690478,-4.13519948,-2.508748083,0.635029025,,,,,,,,,,-0.741764703,0.534929719,1.39518388,-0.946889172,5.098545558,-0.938495962,,,,,,
1,1,1,1,0.102,-0.953,2.2,9.79,-1.32,0.853,0.0899,-3.43,-2.76,1.7,0,0,0,1,30,102000000,-1.542151587,2.301163482,9.010455109,-1.340691408,0.362368205,0.23258832,-3.823971803,-2.623105612,1.222474036,,,,,,,,,,-0.407478722,-0.620962664,1.711908872,-0.025201536,5.297236198,-1.848571453,,,,,,
2,2,2,2,0.152,-3.67,0.35,9.96,-1.2,1.86,1.28,-5.58,-4.03,1.4,0,0,0,1,30,152000000,-2.73631409,0.85229411,9.579681084,-1.234007575,1.41298845,0.986500321,-4.750907509,-3.383416761,1.332722449,,,,,,,,,,-1.499475904,-0.859887717,2.334625271,-0.775268958,6.133580462,-3.907190575,,,,,,
3,3,3,3,0.202,-4.57,-0.182,11.7,0.814,1.29,2.08,-6.12,-4.15,2.87,0,0,0,1,30,202000000,-3.793575263,0.08136402,10.87492705,0.322039458,1.326319673,1.776150206,-5.498966453,-3.810977537,2.302347414,,,,,,,,,,-2.23327836,1.134208183,3.697976648,-0.785206129,6.833315004,-4.794804019,,,,,,
4,4,4,4,0.252,-2.56,3.67,8.79,0.00458,1.43,1.11,-3.8,-0.456,-0.0156,0,0,0,1,30,252000000,-3.078946731,2.756871126,9.597717554,0.080810754,1.399410769,1.294982005,-4.564243294,-1.928457904,0.837261958,,,,,,,,,,-0.23390785,0.186911677,2.811982944,-1.849105886,5.112513176,-3.882033578,,,,,,
5,5,5,5,0.302,-2.21,3.24,8.62,-0.404,0.597,1.19,-3.14,-0.744,-0.291,0,0,0,1,30,302000000,-2.57513243,3.117073474,8.998523573,-0.287586027,0.833718964,1.219150832,-3.77957725,-1.263077508,0.123929437,,,,,,,,,,0.630100097,0.333007383,2.087811577,-1.957103065,4.281932459,-2.98374144,,,,,,
6,6,6,6,0.352,-2.87,2.43,7.74,-0.738,-0.00244,1.18,-3.78,-1.26,-1.3,0,0,0,1,30,352000000,-2.746121438,2.604817395,8.227189017,-0.62984557,0.244233258,1.190871094,-3.779810207,-1.261348301,-0.776370293,,,,,,,,,,0.46261803,0.547565968,1.398510224,-2.571230977,4.127651642,-2.051028148,,,,,,
7,7,7,7,0.402,-2.51,2.38,6.66,-1.67,0.599,1.34,-3.62,-0.781,-2.56,0,0,0,1,30,402000000,-2.609194757,2.437202079,7.266667985,-1.420235773,0.49434116,1.298590953,-3.691735472,-0.991436997,-1.904101484,,,,,,,,,,0.694008454,-0.268673678,0.465392655,-3.500016978,3.759405143,-2.250816995,,,,,,
8,8,8,8,0.452,-1.28,1.18,9.22,-2.05,0.985,0.626,-2.14,-0.974,-0.309,0,0,0,1,30,452000000,-1.838391991,1.499879411,8.463855556,-1.898779578,0.840252015,0.812760336,-2.83653269,-0.981638925,-0.895569825,,,,,,,,,,1.155747347,-1.229436856,0.927457038,-1.725149918,3.635972657,-2.400175092,,,,,,
9,9,9,9,0.502,-2.64,0.481,10.5,-0.937,0.47,0.371,-1.48,-0.225,-0.484,0,0,0,1,30,502000000,-2.303246547,0.740241212,9.711798551,-1.167944632,0.579227088,0.49366491,-2.088909616,-0.556473705,-0.635347362,,,,,,,,,,1.679340487,-0.795170069,1.795463432,-0.947678598,3.208629377,-1.544403255,,,,,,
