,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),SPM/RPM,Timestamps,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq
0,0,0,0,0.247,4.48,1.81,15.0,-1.48,0.7170000000000001,-1.33,0.0381,2.39,-2.63,90.0,247000000.0,2.790415792010349,1.3005972852215977,10.697489248679542,-1.1934876909783014,0.3648048672567625,-1.2251222878885926,1.7883677495607744,0.19319635286408324,0.07465467516216917,,,,,,,,,,3.1847116492354792,1.4882263146443286,3.1209703565160414,2.0038437570755563,2.3033487245486843,-1.948147798608442,,,,,,
1,1,1,1,0.267,2.73,1.68,15.9,-0.192,-0.574,-0.902,5.32,-3.1,7.74,90.0,267000000.0,2.776857132049991,1.3973675358992164,12.32149456192985,-0.4339519437184081,-0.198748830513651,-1.0043481416863127,2.7672518535052606,-0.6056199014303107,3.012539136080623,,,,,,,,,,2.6841980983591016,2.4787396942202147,3.387064551057488,2.2786486624624316,2.2117141782599767,-2.104969692459549,,,,,,
2,2,2,2,0.317,2.21,2.45,8.51,-1.15,-0.154,-1.5,7.22,-1.65,-0.815,90.0,317000000.0,2.5934450935045517,1.7818506503024705,10.709767916734233,-0.9971824891025788,-0.16924538159753405,-1.362261643484182,4.479505552279412,-0.9720499540895688,1.127032527711535,,,,,,,,,,2.9603179768440477,1.7505705224555248,3.351086259741164,2.5657593584412983,2.032242817632698,-1.4732590684376992,,,,,,
3,3,3,3,0.3670000000000001,1.86,1.22,8.43,-0.332,-0.584,-0.933,3.19,-3.19,0.0977,90.0,367000000.0,2.324952087477459,1.5533151485305643,9.666731351474365,-0.4731133486131943,-0.4454835235992037,-1.0510147403796652,3.934449486352032,-1.844801733938752,0.5925140925552468,,,,,,,,,,2.2839603350997564,1.7316529626517705,3.1856842205384113,2.395021604734872,2.0787367145540783,-1.145637361964427,,,,,,
4,4,4,4,0.417,1.86,1.22,8.43,-0.634,-0.0586,-0.952,3.64,-3.22,-1.23,90.0,417000000.0,2.1470118420715654,1.4129867418389568,9.088522097506829,-0.599878368281985,-0.1875191546844498,-0.9791994373998916,3.8063267992783785,-2.4069593969244485,-0.3649830864011721,,,,,,,,,,2.2795836807041714,1.4677838908173493,2.9293334507302125,2.444510960064305,2.055824425558885,-1.0624886300006977,,,,,,
5,5,5,5,0.467,0.304,1.24,2.95,-0.534,0.315,-0.0708,2.39,-1.7,1.7,90.0,467000000.0,1.4301148485939472,1.3393381123416928,6.201245149084357,-0.5479716229686538,0.14758988625754454,-0.3203226216809626,3.184462900174238,-2.114222433688715,0.7227229966322558,,,,,,,,,,1.908827828635861,1.2407648146687045,2.720286618143711,1.8413469447482151,1.4980901675400702,-0.3947132893670671,,,,,,
6,6,6,6,0.517,-0.792,1.26,10.5,-0.007640000000000002,0.8059999999999999,0.0453,7.07,-1.57,-0.433,90.0,517000000.0,0.5605683204160808,1.3054364719590017,8.226580410467726,-0.12223473732422102,0.5866621591134082,-0.05513015012161465,4.89528686659601,-1.8878850212635248,0.11360562779661708,,,,,,,,,,1.8127954322128723,1.895548212705163,2.5429291199220647,2.423245727595379,1.2610158485404788,-0.916881600118097,,,,,,
7,7,7,7,0.5670000000000001,4.39,2.17,9.41,0.0889,-0.55,-1.08,6.82,-0.746,-0.823,90.0,567000000.0,2.0623879814527006,1.6753110646906468,8.784403780464235,0.04412207435994242,-0.17134201118441705,-0.7984862782683673,5.743494607777513,-1.4122794649358483,-0.3800912490802164,,,,,,,,,,1.9153977504247328,1.5632806781406658,3.2773229983410235,2.578814644869432,1.625959457614052,-1.0678623165802854,,,,,,
8,8,8,8,0.617,4.39,2.17,9.41,-0.703,-0.7290000000000001,0.16399999999999998,0.6779999999999999,0.647,0.623,90.0,617000000.0,2.9759687304845865,1.887029885876244,9.079326978895589,-0.5445486930986638,-0.5432265893921265,-0.100378070803966,3.510552686358849,-0.5541377890550561,0.14866640852049096,,,,,,,,,,1.6447217380580137,1.6362326030737684,3.7906408778532614,2.0575673749062933,2.139326914400764,-1.2190612012362965,,,,,,
9,9,9,9,0.667,4.39,2.17,9.41,-1.32,0.199,0.418,2.65,-0.0184,2.31,90.0,667000000.0,3.5311380901190668,2.0081519830462056,9.23522097468698,-1.1555406005443931,-0.048258980357016416,0.27561065896848996,3.1311762916679364,-0.33084715289682065,1.2879735716039258,,,,,,,,,,1.9381072318672776,1.5411328501950807,3.934060142573465,2.0177446631521025,2.0441063678193085,-1.526048951329236,,,,,,
