,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Bikking,Unnamed: 16,Unnamed: 17,Unnamed: 18,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq,0,1,2,3,4,5,0_max_freq,1_max_freq,2_max_freq,3_max_freq,4_max_freq,5_max_freq,RPM
0,0,0,0,0.031360282,3.141177893,4.686941147,11.73709393,0.154233876,0.178243637,-0.258830547,-1.467961311,0.14130372,0.396745294,0.417361379,0.102087848,0,0,0,1,,COUNT,TIME,2.115437012,3.973934071,9.694242901,0.340031605,0.453447093,0.115499694,0.009809712,-0.17135405,-1.301710237,,,,,,,,,,-2.235530945,-0.966591845,-2.549504532,4.234946045,1.065326934,0.560994385,,,,,,,64
1,1,1,1,0.050985282,0.991525888,4.358825684,10.15693378,0.193499709,-0.743572772,0.058695793,-1.653717995,0.19130372,0.179130957,0.372998595,0.191500619,0,0,0,1,ACC,3401,2.83199375,1.655596699,4.220845548,9.849631833,0.215169361,0.398411314,0.170569548,-0.480265145,-0.019809728,-1.534625582,,,,,,,,,,-2.102480697,-0.929844694,-2.752855645,4.10349748,1.226810035,0.806066874,,,,,,,64
2,2,2,2,0.100985282,1.350449324,3.568894863,8.466703415,0.243499709,0,0,0,0.24130372,0.078112096,1.062568784,0.184323162,0,0,0,1,LA,3398,2.83065443,1.501578033,3.764527197,9.252061134,0.105954954,0.874059029,0.18089578,-0.142718057,-0.00573979,-0.442482957,,,,,,,,,,-2.429458328,-0.300257662,-2.343216795,3.693149712,0.875880866,-0.155932092,,,,,,,64
3,3,3,3,0.150985282,1.202094316,5.100899696,8.143373489,0.293499709,1.278730869,-0.498548269,-0.715090752,0.29130372,-0.429654688,1.325233102,0.236856028,0,0,0,1,GYR,3398,2.830833355,1.343713274,4.706799836,8.740354384,-0.321305382,1.198329652,0.223001292,0.862794562,-0.357858657,-0.637605829,,,,,,,,,,-3.205192954,-0.40752708,-2.03090171,3.250551702,1.179216688,-0.798129124,,,,,,,64
4,4,4,4,0.200985282,1.041775107,4.040280819,7.305586815,0.343499709,-0.512619674,0.01370573,-0.872382164,0.34130372,-0.254417896,1.924550653,-0.182490617,0,0,0,1,,,,1.183059,4.236539876,8.066093165,-0.267946327,1.720430634,-0.082138395,-0.110689001,-0.092241597,-0.80572792,,,,,,,,,,-3.633904966,0.267030039,-1.502684833,2.9164739,1.412186826,-1.539681094,,,,,,,64
5,5,5,5,0.250985282,2.013560295,3.698107481,8.322834969,0.393499709,-0.512619674,0.01370573,-0.872382164,0.39130372,0.409802169,1.177178979,-0.408733159,0,0,0,1,,,,1.62584812,3.856629992,8.187350948,0.272724084,1.329862848,-0.327908595,-0.395178766,-0.016500949,-0.853460447,,,,,,,,,,-3.198075263,0.130165991,-1.380135505,3.305189503,1.253765634,-0.8352095,,,,,,,64
6,6,6,6,0.300985282,-0.471386075,4.349254131,9.093922615,0.443499709,-0.512619674,0.01370573,-0.872382164,0.44130372,0.975981236,-0.349633694,-0.332377255,0,0,0,1,,,,0.507194779,4.204219914,8.616112464,0.833743936,0.122395938,-0.331271368,-0.478304719,0.005093563,-0.867010733,,,,,,,,,,-1.793128258,-0.532684923,-1.50996976,3.160969146,1.097898135,1.341829355,,,,,,,64
7,7,7,7,0.350985282,3.553042412,3.559024572,10.07557774,0.493499709,-0.298672557,-1.084598541,-0.658866882,0.49130372,0.868930221,-1.997394204,-0.713851392,0,0,0,1,,,,2.13198968,3.748977319,9.306628963,0.861813617,-1.401618399,-0.619171937,-0.351159076,-0.77391875,-0.717953994,,,,,,,,,,-0.583082483,-0.915593743,-1.423600964,4.572939219,0.915253299,3.80066355,,,,,,,64
8,8,8,8,0.400985282,1.752742529,2.48195529,10.72672462,0.543499709,0.609892726,-0.915748119,0.083271027,0.54130372,-0.055587102,-0.754243672,-0.729809761,0,0,0,1,,,,1.92967761,2.854980756,9.97859007,0.12996181,-0.936191017,-0.702429531,0.329084101,-0.875311453,-0.144177779,,,,,,,,,,-1.130552198,-0.461076032,-2.386825302,4.472856607,0.57524685,2.883107201,,,,,,,64
9,9,9,9,0.450985282,1.752742529,2.48195529,10.72672462,0.593499709,0.609892726,-0.915748119,0.083271027,0.59130372,-2.045192957,-0.345434129,-1.485046029,0,0,0,1,,,,1.835289912,2.591778161,10.33260297,-1.60525696,-0.511468796,-1.291367063,0.527843576,-0.904219308,0.018703698,,,,,,,,,,-2.419835729,0.661199666,-3.063807918,4.264564496,0.657995615,2.396768685,,,,,,,64
