,Unnamed: 0,Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Time (s).1,Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Time (s).2,Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Sitting,Walking,Running,Biking,SPM,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Acceleration x (m/s^2)_kalman,Acceleration y (m/s^2)_kalman,Acceleration z (m/s^2)_kalman,Gyroscope x (rad/s)_kalman,Gyroscope y (rad/s)_kalman,Gyroscope z (rad/s)_kalman,Linear Acceleration x (m/s^2)_kalman,Linear Acceleration y (m/s^2)_kalman,Linear Acceleration z (m/s^2)_kalman,Acceleration x (m/s^2)_kalman_max_freq,Acceleration y (m/s^2)_kalman_max_freq,Acceleration z (m/s^2)_kalman_max_freq,Gyroscope x (rad/s)_kalman_max_freq,Gyroscope y (rad/s)_kalman_max_freq,Gyroscope z (rad/s)_kalman_max_freq,Linear Acceleration x (m/s^2)_kalman_max_freq,Linear Acceleration y (m/s^2)_kalman_max_freq,Linear Acceleration z (m/s^2)_kalman_max_freq
0,0,0.013075732,1.029811025,4.492823601,10.02532864,0.155396409,1.082274914,-0.6888179779000001,-0.8785486221,0.156099378,-0.1259108931,1.829487562,0.8128086329,0.0,1.0,0.0,0,30.0,,,,,,0.9063827679628436,3.605264269686772,8.68586568686004,-0.2641253893860942,1.6024389044208158,0.8355505668133049,0.7794128417513874,-0.5450539251000103,-0.680776980353953,,,,,,,,,
1,1,0.0326512,0.747158885,4.665106773,10.71715355,0.19465818,0.9357105494,-0.6180300713,-0.90366745,0.206099378,-0.8741987943999999,1.333174109,1.149538159,0.0,1.0,0.0,0,30.0,,,,COUNT,TIME,0.8502591436022039,3.9228206719569023,9.865936290999436,-0.7137790105539649,1.4269530136104072,1.040702012670894,0.8677187420490695,-0.5894305637460385,-0.8402705958062104,,,,,,,,,
2,2,0.0826512,1.968096614,3.741178274,8.56241703,0.24465818,0.0,0.0,0.0,0.256099378,-0.7274427414,0.1970745921,0.5480827093,0.0,1.0,0.0,0,30.0,,,ACC,6379,5.31615959113333,1.358151421658227,3.849587444943477,9.015105682812175,-0.7242389073136078,0.5721623340171715,0.7007709486443425,0.3141497674293374,-0.19288944562881127,-0.20436175213702976,,,,,,,,,
3,3,0.13265120000000002,1.968096614,3.741178274,8.56241703,0.29465818,-1.2380195859999998,-0.4023885727000001,1.88974762,0.30609937800000003,-0.3946836889,1.592784286,0.7885274291,0.0,1.0,0.0,0,30.0,,,LA,6379,5.31398769651667,1.6528069817077164,3.802114049719584,8.715804457145207,-0.4714443917365975,1.2855722289363956,0.7616328638426652,-0.6905348932765014,-0.3352510960894694,1.3854957287564624,,,,,,,,,
4,4,0.1826512,0.6514459847999999,2.570489645,8.758627892,0.34465818,-1.018744946,-0.3480839729,0.08494186401,0.356099378,-1.105862617,0.6025244594,0.997208178,0.0,1.0,0.0,0,30.0,,,GYRO,6378,5.3141666437,1.1614888390754003,3.2495159743248125,8.744159154058044,-0.9581460804817286,0.8078793911200559,0.9250888466985899,-0.9033572230401326,-0.3439803810742996,0.3979273073776899,,,,,,,,,
5,5,0.23265120000000006,-1.453041553,1.988734722,12.85992622,0.39465818,-1.018744946,-0.3480839729,0.08494186401,0.406099378,-0.8771766423999999,0.07505785674,0.3094705045,0.0,1.0,0.0,0,30.0,,,,,,-0.12644319372675894,2.6797349554174765,11.469787687816734,-0.8960290171455637,0.2953532013968627,0.4979178437058806,-0.978194939488542,-0.3467720515583062,0.16026099737343336,,,,,,,,,
6,6,0.2826512,-1.816750646,2.326122761,10.19761181,0.44465818,-1.018744946,-0.3480839729,0.08494186401,0.456099378,-0.4240043461,-0.5122717619,0.3988068998,0.0,1.0,0.0,0,30.0,,,,,,-0.9599478939928168,2.5195831851882105,10.627285009342382,-0.5339072516987515,-0.26949194086416306,0.429145532131185,-1.0044954182878263,-0.3476645602158023,0.1030671823319026,,,,,,,,,
7,7,0.33265120000000004,-1.816750646,2.326122761,10.19761181,0.49465818,-0.7800183296,0.2224127054,-0.4534959793,0.5060993779999999,-0.3620033562,0.2306711972,0.00496313395,0.0,1.0,0.0,0,30.0,,,,,,-1.3825551473008215,2.4319080696932565,10.342731895932094,-0.4020282482660548,0.08031748670001065,0.13480855777978734,-0.8589005021286189,0.040163140893233314,-0.3195607774554841,,,,,,,,,
8,8,0.3826512,0.007477570791,0.5976074338,9.678070068,0.54465818,1.53046751,0.006218791008,0.9530544281,0.556099378,-1.276365399,0.9644514918,-0.8373952508,0.0,1.0,0.0,0,30.0,,,,,,-0.6968927683190814,1.6004539139236362,9.902556341750813,-1.0727908969994195,0.6986725738938055,-0.5397963741749472,0.6908344026496311,0.0170705507433395,0.6468035206184939,,,,,,,,,
9,9,0.4326512,-2.106581211,2.187339067,9.465108871,0.59465818,1.53046751,0.006218791008,0.9530544281,0.606099378,-4.489803791,1.870108843,-0.4749337435,0.0,1.0,0.0,0,30.0,,,,,,-1.392262746042206,1.8664932732178523,9.612854601550225,-3.6942105825468174,1.5179641906309305,-0.4947886810026426,1.2354172353864366,0.009688018932429024,0.879356095809239,,,,,,,,,
10,10,0.4826512,-0.2536391914,0.8036893009999999,11.41137123,0.64465818,1.53046751,0.006218791008,0.9530544281,0.656099378,-4.667331218999999,3.219775915,-1.239409089,0.0,1.0,0.0,0,30.0,,,,,,-0.8306009476566618,1.3847081297228303,10.803931095110805,-4.4407566656847965,2.708195461849184,-1.011475199988376,1.4267857200694405,0.007327877705026584,0.9353191527113228,,,,,,,,,
11,11,0.5326512,3.081357241,2.525026083,10.25025368,0.69465818,3.387036324,-2.174623966,-0.52247715,0.706099378,-2.81997633,3.913851023,-1.6586030719999998,0.0,1.0,0.0,0,30.0,,,,,,1.099097382704281,1.9016341907136252,10.43725549884266,-3.1973474043845824,3.551419732919688,-1.4605123791920296,2.6981967976785137,-1.4770699813664911,-0.17166298517137046,,,,,,,,,
12,12,0.5826511999999999,-3.10259366,-5.026124001,0.1016949639,0.74465818,3.387036324,-2.174623966,-0.52247715,0.7560993779999999,-3.157927513,3.67615509,-1.237042069,0.0,1.0,0.0,0,30.0,,,,,,-0.9735215385303484,-1.2388445160916093,3.592479640843025,-3.1671057628804635,3.6386584802406765,-1.3054480065332692,3.1449754913900136,-1.9516210786310093,-0.4380548078344403,,,,,,,,,
13,13,0.6326512,-1.084247708,-6.469594002000001,5.004887581,0.79465818,3.387036324,-2.174623966,-0.52247715,0.806099378,-1.603855848,2.631682634,-1.549261332,0.0,1.0,0.0,0,30.0,,,,,,-1.0281407786061891,-3.610039419841353,4.527853754021541,-1.967831944911919,2.934388951535236,-1.4746282449818469,3.3019752254788166,-2.103331580320584,-0.5021611748237744,,,,,,,,,
14,14,0.6826512,-1.084247708,-6.469594002000001,5.004887581,0.84465818,-2.87119627,1.953553677,5.527336121,0.856099378,-0.07498150319,1.262315869,-1.862167835,0.0,1.0,0.0,0,30.0,,,,,,-1.0558173245288414,-4.906328259520811,4.843771754834559,-0.515699464408214,1.7649566097619664,-1.7435390614053683,-0.7019203020902216,0.6565972452103872,4.076356272508323,,,,,,,,,
15,15,0.7326512,-8.982357025,-6.87906599,4.207479477,0.89465818,-3.773664474,0.4489006996,2.8116281030000003,0.906099378,-0.6071822047,1.316452146,-1.071426034,0.0,1.0,0.0,0,30.0,,,,,,-4.965837748633929,-5.800606698958443,4.422384060598821,-0.5858820079884455,1.4512767644068272,-1.2771648702751286,-2.6942418766210294,0.5152997603549789,3.1159810197583546,,,,,,,,,
16,16,0.7826512,-8.40299511,-5.181657314,8.313263893,0.94465818,-3.773664474,0.4489006996,2.8116281030000003,0.956099378,-0.1675248593,1.195733547,-0.7453100085,0.0,1.0,0.0,0,30.0,,,,,,-6.6613260709975775,-5.520025510742496,6.999138388929969,-0.264932190371075,1.2725522181590856,-0.9081147688437564,-3.39435126368854,0.470127991838657,2.884869689895456,,,,,,,,,
17,17,0.8326511999999999,-8.19481945,-6.754639149,7.9471621510000015,0.99465818,-3.773664474,0.4489006996,2.8116281030000003,1.006099378,-0.3471903205,-0.007024743593999999,0.1712663025,0.0,1.0,0.0,0,30.0,,,,,,-7.41777095989587,-6.079698678506575,7.626971793786037,-0.32803791700473384,0.37762800773521776,-0.1591403352173577,-3.6403723679751048,0.4556869090905797,2.829253464219029,,,,,,,,,
18,18,0.8826511999999999,-13.21765327,-8.186145782,2.395215511,1.04465818,-4.061275005,-1.41455555,-1.647082806,1.056099378,-1.0051491259999998,0.1114796251,0.720647037,0.0,1.0,0.0,0,30.0,,,,,,-10.278749293731304,-7.034590061880149,4.1622154338211,-0.8474953225653801,0.19148630754877147,0.4513375269154809,-3.913368215980824,-0.8166527667037276,-0.5698663475075714,,,,,,,,,
19,19,0.9326512,-9.93529892,-8.964410782,3.944268942,1.09465818,-2.964267254,-1.616679192,-0.27729415890000003,1.106099378,-0.08414421231000001,-0.5079958439,0.4939463735,0.0,1.0,0.0,0,30.0,,,,,,-10.109331359774998,-7.9094134429655005,4.01787929633347,-0.2618775068082778,-0.2977249949287281,0.4809034861104337,-3.29778494566754,-1.3609166172671363,-0.3477007498885765,,,,,,,,,
20,20,0.9826511999999998,-9.202795982,-9.565308571000001,1.22691977,1.14465818,-2.964267254,-1.616679192,-0.27729415890000003,1.156099378,0.3574983478,-0.9459733367,0.5345677137,0.0,1.0,0.0,0,30.0,,,,,,-9.662153652882477,-8.660061293127155,2.169552607101674,0.21328723744821287,-0.7511038480617984,0.518140691358238,-3.081466640642152,-1.5349137743616932,-0.2942372869677143,,,,,,,,,
21,21,1.0326512,-10.28973579,-9.79501915,0.7265207767,1.19465818,-2.964267254,-1.616679192,-0.27729415890000003,1.206099378,0.3429143727,-0.2938175201,0.2283805162,0.0,1.0,0.0,0,30.0,,,,,,-9.971728711698908,-9.174558655184109,1.2138976717588696,0.3127329037720048,-0.4312820489955947,0.31707827803039923,-3.0054515646228785,-1.5905393880151586,-0.281371470216048,,,,,,,,,
22,22,1.0826512,-4.804787636,-9.07448101,4.537988186000001,1.24465818,2.843463182,1.105678558,-0.9107415676,1.256099378,0.2922904193,-1.129762053,0.6703284979,0.0,1.0,0.0,0,30.0,,,,,,-7.422968983686285,-9.129191610124355,3.4152929830261085,0.297050103392549,-0.9197924592347888,0.5621959573909436,0.7881322705472709,0.2437174762583472,-0.7592856031139097,,,,,,,,,
23,23,1.1326512,-5.034498692,-7.436892986,2.586641312,1.29465818,2.843463182,1.105678558,-0.9107415676,1.306099378,-0.08727480471000001,-1.000949621,0.9291750193,0.0,1.0,0.0,0,30.0,,,,,,-6.244779257364653,-8.362041382759166,2.866514333257027,0.002208699221092847,-0.9765530225016844,0.8168399773066011,2.1212120743211558,0.8301159288367862,-0.8742941588821151,,,,,,,,,
24,24,1.1826511999999998,-3.485445261,-6.821638107,2.409572363,1.34465818,2.843463182,1.105678558,-0.9107415676,1.356099378,-0.8590039611,0.2979407609,-0.1529408842,0.0,1.0,0.0,0,30.0,,,,,,-4.883649091031569,-7.66374812271298,2.5639022633414648,-0.6584852727309385,-0.08518393971193594,0.1439163076045239,2.5896613930773107,1.0175832088475287,-0.9019706115948356,,,,,,,,,
25,25,1.2326511999999998,-3.485445261,-6.821638107,2.409572363,1.39465818,2.901381254,1.888584614,-0.3978307247,1.4060993780000002,-1.001636744,0.4373666346,-0.2376195788,0.0,1.0,0.0,0,30.0,,,,,,-4.1939401198650845,-7.282004096749916,2.4616965268318416,-0.921739772673798,0.28028306548360593,-0.12082858375237288,2.7918417081236053,1.6101318594416243,-0.5191504269469872,,,,,,,,,
26,26,1.2826512,-6.250650883,-6.29491806,1.552343726,1.44465818,0.8141603470000001,0.03352355957,0.4370498657,1.4560993780000002,-0.5189147592,-0.3633777499000001,0.4991385639,0.0,1.0,0.0,0,30.0,,,,,,-5.208478797109257,-6.834539762365512,1.8594731568047045,-0.6127056972972496,-0.1698873144335718,0.30936197229921986,1.509125107323646,0.5375536577392708,0.20694322707136992,,,,,,,,,
27,27,1.3326512,-3.3203406330000003,-5.784947872,2.124527454,1.49465818,0.8141603470000001,0.03352355957,0.4370498657,1.506099378,-0.02038702741,0.9542961121,0.053754560650000005,0.0,1.0,0.0,0,30.0,,,,,,-4.277093971558141,-6.358740369826558,2.03500667053605,-0.15829833346712566,0.6163561046010404,0.1319979055579308,1.0583736098507508,0.19465828141653507,0.38167541587432624,,,,,,,,,
28,28,1.3826512,-4.68275404,-6.778567314,2.641676188,1.54465818,0.8141603470000001,0.03352355957,0.4370498657,1.556099378,0.0542890504,0.6933116317,-0.01084253844,0.0,1.0,0.0,0,30.0,,,,,,-4.47719883629726,-6.5490556789900545,2.4367765454814867,0.004791701674837973,0.6701780835573569,0.032881992295257734,0.8999778173995209,0.08503714710959448,0.42372417588607547,,,,,,,,,
29,29,1.4326511999999998,-4.68275404,-6.778567314,2.641676188,1.59465818,-0.9936461449,-2.367114544,-0.8747366667,1.606099378,0.8105179667,0.513035357,0.1522536725,0.0,1.0,0.0,0,30.0,,,,,,-4.578595546030348,-6.653097542887803,2.572472342372984,0.6229183397421401,0.5602739240631966,0.11571310628664415,-0.3282194745409711,-1.5831796517459011,-0.5622660868295588,,,,,,,,,
30,30,1.4826511999999998,-5.891727447999999,-8.562117577,4.796412945,1.64465818,-0.4732427597,-1.717300415,0.9129052162,1.6560993780000002,-0.3545204699,1.138390183,0.1378224194,0.0,1.0,0.0,0,30.0,,,,,,-5.226340054608786,-7.518491588766255,4.045287957322157,-0.12694050378050034,0.9646030519141212,0.13105459291339894,-0.422281025120994,-1.674422991715422,0.5579098114037042,,,,,,,,,
31,31,1.5326512,-6.578766823,-7.343572617,-0.6260222196999999,1.69465818,-0.4732427597,-1.717300415,0.9129052162,1.7060993780000002,-0.1590493619,1.108916879,0.1419456303,0.0,1.0,0.0,0,30.0,,,,,,-5.893468018961081,-7.4391975874616465,0.951689790429354,-0.1515733616247486,1.0655347983820036,0.1386118021178318,-0.4553346121347788,-1.7035928176042332,0.8274766716281392,,,,,,,,,
32,32,1.5826512,-7.641777992000001,-9.591629982,4.05912447,1.74465818,1.390141487,-0.7669763565000001,0.6857237815999999,1.756099378,0.1627907902,1.438392639,0.2241045833,0.0,1.0,0.0,0,30.0,,,,,,-6.755878096131545,-8.414934952964026,3.009603708259183,0.08959645586777573,1.32630809981869,0.19793460204420424,0.7416341591806612,-1.0664057625752883,0.7198361755023535,,,,,,,,,
33,33,1.6326512,-6.4399828910000005,-8.382656097,-2.2803599830000003,1.79465818,0.2702264786,-0.06863260268999999,-0.1593033373,1.806099378,0.3597890437,1.6831132169999998,0.03535278514,0.0,1.0,0.0,0,30.0,,,,,,-6.60005263478522,-8.400302351467385,-0.4937007950959975,0.2968793051003794,1.575854276117292,0.08512029811559542,0.4358809324287122,-0.3876133563560519,0.05225886334087637,,,,,,,,,
34,34,1.6826511999999998,-4.553242207,-7.999505042999999,1.19581306,1.84465818,0.2702264786,-0.06863260268999999,-0.1593033373,1.856099378,0.1186570823,1.261323214,0.281524241,0.0,1.0,0.0,0,30.0,,,,,,-5.590397615756644,-8.2186135277772,0.6251880747170413,0.16015308904898876,1.355874180186435,0.22140352168859728,0.32843808439068034,-0.17060840771348088,-0.10839154904548526,,,,,,,,,
35,35,1.7326511999999998,-6.94756031,-7.312466145,-0.09960123897,1.89465818,0.2702264786,-0.06863260268999999,-0.1593033373,1.906099378,-0.5188384056,1.039051175,0.5992411375,0.0,1.0,0.0,0,30.0,,,,,,-6.259861727997666,-7.807840180051526,0.14519278276602127,-0.3607468096673313,1.134291120995579,0.4835822107821809,0.2906822585007741,-0.101233518861004,-0.14705157318013615,,,,,,,,,
36,36,1.7826512,-6.94756031,-7.312466145,-0.09960123897,1.94465818,-1.136836529,-1.203189373,-1.98607409,1.956099378,-0.4327852726,1.200620294,0.2496074587,0.0,1.0,0.0,0,30.0,,,,,,-6.599091153299844,-7.5832779789088836,-0.01692326352616541,-0.4160123444194239,1.180681126607418,0.32122888434953417,-0.6352009916412328,-0.8509021768921734,-1.5435190176049658,,,,,,,,,
37,37,1.8326512,-8.362317085,-8.775078772999999,-2.191825628,1.99465818,0.1351890564,-0.1076822281,-3.467119217,2.006099378,0.1858502775,0.6910209656,-0.33810395,0.0,1.0,0.0,0,30.0,,,,,,-7.468859006420693,-8.12354329477673,-1.4572630641096946,0.04571682492644108,0.8382173701589859,-0.1362772266262155,-0.13552893974908153,-0.3452841890746817,-3.004210787203573,,,,,,,,,
38,38,1.8826512,-8.625826836,-8.373085022,-2.821436882,2.04465818,0.1351890564,-0.1076822281,-3.467119217,2.0560993780000003,0.4863871336,1.4549617769999998,-1.014464617,0.0,1.0,0.0,0,30.0,,,,,,-8.039570567939707,-8.236665169403551,-2.3606938924037446,0.38378456356586826,1.269562664412064,-0.7456448731762448,0.040057721790403684,-0.18364183056594946,-3.3557217371422365,,,,,,,,,
39,39,1.9326512,-8.304888725,-7.774580002,-5.718546867000001,2.09465818,0.1351890564,-0.1076822281,-3.467119217,2.106099378,-0.08590039611,1.648753166,-1.544603705,0.0,1.0,0.0,0,30.0,,,,,,-8.170447275184575,-8.027193427020329,-4.584448559615469,0.0234577408474006,1.5347649699823984,-1.3000364173358028,0.10175954320273316,-0.13196595531268054,-3.4403117584584626,,,,,,,,,
40,40,1.9826512,-1.675574064,-2.8689942360000003,-0.4680959284,2.14465818,1.237328529,0.5224027634,-4.977697849,2.156099378,0.6650599240999999,-0.354978621,-0.5423560143,0.0,1.0,0.0,0,30.0,,,,,,-4.966642347779163,-5.688886448286118,-1.8583737601144423,0.5156737920279829,0.2130959015181102,-0.7742876657100944,0.8382852639366899,0.31320588831435786,-4.60773064849083,,,,,,,,,
41,41,2.0326512,-5.218746185,-5.612664700000002,0.5303093195,2.19465818,-3.405849457,-1.105115414,-1.121827364,2.206099378,0.4225535989,-0.9358180165,-0.3588727713,0.0,1.0,0.0,0,30.0,,,,,,-5.091000667125046,-5.654333721570832,-0.2764566284311636,0.4442350485968122,-0.5904437929950819,-0.4860343846786454,-1.9144443563542488,-0.6516885065953724,-1.960699191987904,,,,,,,,,
42,42,2.0826512,-1.172782183,-5.200799942,-2.998805046,2.24465818,-3.405849457,-1.105115414,-1.121827364,2.256099378,0.2938175201,-0.5091412067000001,-0.9058864713,0.0,1.0,0.0,0,30.0,,,,,,-3.1582134856989628,-5.448738481342812,-2.0793452732463016,0.32883967773590056,-0.5335815213355037,-0.7773666000760003,-2.8817640259603947,-0.960158160490208,-1.3236992710199402,,,,,,,,,
